sgRNA	Gene	MDA-MB-231-Reference	MDA-MB-231-Baseline	MDA-MB-231-Vehicle-1	MDA-MB-231-Vehicle-2	MDA-MB-231-Cpd-1	MDA-MB-231-Cpd-2
sg_3418_3	IDH2	619	732	727	1537	990	721
sg_201254_1	STRA13	4164	6040	6876	11925	7629	6798
sg_132946_1	ARL9	1850	1951	2203	1687	1740	1887
sg_1401_4	CRP	2657	3418	2803	4233	2572	4400
sg_29994_3	BAZ2B	2114	2248	2814	3455	2042	3062
sg_80308_4	FLAD1	1186	1345	843	1040	409	528
sg_55765_2	C1orf106	3083	3041	2046	3430	3592	2868
sg_79634_4	SCRN3	1082	1451	1269	2559	3569	2040
sg_5293_3	PIK3CD	380	441	281	223	260	388
sg_3688_1	ITGB1	3526	4176	3389	2914	3169	3963
sg_9092_4	SART1	1917	1297	530	794	833	470
sg_10491_2	CRTAP	3136	3501	1917	3373	3053	2838
sg_79613_2	TANGO6	1537	1066	3	14	75	91
sg_64377_3	CHST8	1636	2675	3084	3592	3558	2885
sg_51504_4	TRMT112	1500	346	39	43	0	0
sg_3741_4	KCNA5	2592	3198	2658	4663	3402	2420
sg_391123_4	VSIG8	1444	2458	1903	5409	3028	2553
sg_51701_3	NLK	2130	2132	2086	2109	1917	1384
sg_11183_4	MAP4K5	1430	1057	590	883	1038	1152
sg_79696_3	ZC2HC1C	2353	3244	3086	4054	2940	2875
sg_100873985_1	MED14OS	3542	4129	4457	6240	6517	4482
sg_NTC_767	Non_Targeting_Control_767	2047	3094	3694	6261	4339	6004
sg_5356_2	PLRG1	371	115	147	67	256	31
sg_27179_3	IL36A	696	507	302	470	1164	889
sg_136263_4	SSMEM1	1678	2468	2301	2543	2113	2035
sg_8029_3	CUBN	1579	1645	1897	1690	941	2475
sg_79109_3	MAPKAP1	1129	1922	1225	2400	2221	1468
sg_79865_1	TREML2	1042	822	616	1254	876	990
sg_896_4	CCND3	1038	896	1263	966	1507	1988
sg_119559_1	SFXN4	1044	1448	1032	1586	1279	1484
sg_8930_1	MBD4	2766	3151	4425	7675	3220	4465
sg_131405_2	TRIM71	840	964	1870	1934	1824	1689
sg_79092_4	CARD14	1565	1635	1210	2957	2674	1323
sg_338809_4	C12orf74	2567	2072	959	2153	2339	1505
sg_1591_1	CYP24A1	3166	3232	2035	4444	3907	4629
sg_79803_1	HPS6	3059	3239	5346	6546	6513	6320
sg_80099_1	C7orf69	795	830	119	595	535	171
sg_5828_1	PEX2	1321	1005	323	615	125	90
sg_5437_1	POLR2H	1356	940	342	480	623	214
sg_57479_1	PRR12	3941	4660	3563	4512	3010	2186
sg_349149_1	GJC3	1709	1841	2464	3837	1624	2985
sg_92675_1	DTD1	1255	2049	2573	4146	2088	2375
sg_57674_4	RNF213	1321	1593	1540	2539	2072	1817
sg_5105_3	PCK1	908	1254	964	1294	1706	1431
sg_26284_1	ERAL1	787	899	0	14	12	0
sg_25833_3	POU2F3	657	819	1220	830	975	1046
sg_8243_2	SMC1A	2092	1865	1380	1691	957	1119
sg_117154_3	DACH2	2471	2665	2359	3186	2457	2243
sg_395_4	ARHGAP6	2446	2911	2819	4149	3141	4123
sg_3888_2	KRT82	2975	2344	2425	4036	3131	5633
sg_64342_3	HS1BP3	1456	1558	1197	1337	928	1698
sg_2307_3	FOXS1	2429	3113	3457	5247	3174	3667
sg_57677_4	ZFP14	3863	4803	4086	5931	6237	5018
sg_132203_2	SNTN	2254	2647	2228	3128	2726	1703
sg_123745_1	PLA2G4E	1820	2101	1324	2720	1823	1692
sg_442186_2	OR2J3	1792	2550	2291	5090	2724	3262
sg_729515_3	TMEM242	4275	4039	1664	2145	2393	2657
sg_64518_3	TEKT3	727	953	1374	1019	1476	1559
sg_51764_3	GNG13	2306	3027	3882	4818	2729	3972
sg_5207_4	PFKFB1	2223	2691	2495	4412	3217	4351
sg_100287178_1	USP17L11	1179	1029	557	897	769	1514
sg_5881_1	RAC3	1839	2833	3664	4031	4440	5397
sg_10436_1	EMG1	1711	783	163	404	318	201
sg_55168_3	MRPS18A	2260	1653	39	25	51	8
sg_284615_2	ANKRD34A	805	1040	1184	2362	2692	1232
sg_5082_4	PDCL	3222	3937	1241	2602	2315	2226
sg_388960_1	C2orf78	3174	3212	4632	4823	4022	3095
sg_222662_1	LHFPL5	3374	2341	1081	3872	3606	3657
sg_8027_3	STAM	1089	1279	3087	6111	3788	3566
sg_2981_3	GUCA2B	3048	3768	4162	5745	5652	6484
sg_85458_4	DIXDC1	2959	3555	2466	3125	2722	3264
sg_79002_4	C19orf43	1142	1066	232	377	473	349
sg_9637_3	FEZ2	1639	1835	2976	6131	2874	2926
sg_5298_2	PI4KB	2467	1849	882	1058	524	852
sg_22955_2	SCMH1	1598	1657	2791	4678	2507	3116
sg_30000_2	TNPO2	2932	1926	1014	1561	1378	1593
sg_57549_2	IGSF9	2420	3662	2537	7105	4706	5612
sg_5824_2	PEX19	1248	1281	271	645	314	490
sg_81790_1	RNF170	2661	3038	2328	4248	3968	2670
sg_673_3	BRAF	2096	1753	1017	1800	750	1554
sg_126731_4	CCSAP	2640	2748	1781	2719	2715	2704
sg_9238_2	TBRG4	3417	3838	3792	6969	4377	6270
sg_403312_4	LOC403312	1468	1276	653	824	788	994
sg_9972_1	NUP153	3615	1773	1134	2083	1581	1254
sg_83461_1	CDCA3	849	1040	962	1481	615	1184
sg_389072_4	PLEKHM3	997	1216	668	1085	745	1125
sg_386617_3	KCTD8	1712	1584	1473	1625	1151	803
sg_65009_3	NDRG4	3106	2912	4098	3531	3915	4151
sg_84245_4	MRI1	1924	1821	1421	2086	2100	1991
sg_23175_2	LPIN1	2658	2820	1838	1879	2883	1689
sg_55510_2	DDX43	1835	1862	1759	3541	2932	2490
sg_349136_3	WDR86	1842	2921	2885	4548	5624	4299
sg_222659_3	PXT1	2294	1837	1217	2194	1598	1468
sg_100288413_3	ERVMER34-1	2597	3372	3054	6272	4255	5190
sg_353333_1	KRTAP10-10	1278	1165	982	1605	1706	1661
sg_5122_2	PCSK1	2527	3061	4972	3419	3911	5327
sg_161253_2	REM2	780	553	288	93	67	81
sg_10047_1	CST8	1971	2144	11034	12914	9295	8717
sg_10672_2	GNA13	2853	3834	5948	8854	5421	5970
sg_1201_1	CLN3	2958	3182	4474	5932	3426	3145
sg_4939_1	OAS2	4064	3254	3571	7619	6104	4593
sg_137814_1	NKX2-6	2775	3310	3206	4782	3822	3132
sg_9560_1	CCL4L2	1483	1397	510	1748	1239	864
sg_8807_1	IL18RAP	1928	1732	890	1280	1290	1010
sg_8826_3	IQGAP1	1708	2077	580	1015	821	583
sg_348262_4	FAM195B	2457	2380	1917	5118	2744	2594
sg_2769_3	GNA15	2099	2264	3480	3629	3463	2965
sg_64328_1	XPO4	2731	2947	2208	2886	2724	2376
sg_55722_2	CEP72	1012	1426	1658	1964	2021	2030
sg_899_4	CCNF	3125	4690	3543	7201	5550	7414
sg_386681_4	KRTAP10-8	2707	3286	2335	4024	3089	2882
sg_843_4	CASP10	885	518	707	555	510	484
sg_84440_4	RAB11FIP4	1104	1195	973	2437	1767	1650
sg_480_1	ATP1A4	2704	3004	2582	2145	2973	2494
sg_113278_2	SLC52A3	1069	1137	858	1714	1963	1468
sg_339487_2	ZBTB8OS	789	522	0	129	21	0
sg_728395_1	TSPY4	2165	3347	3427	5617	4076	3128
sg_80055_4	PGAP1	1153	924	562	697	396	911
sg_10240_1	MRPS31	3307	4055	1532	2914	2051	2125
sg_258010_1	SVIP	4486	6802	8841	17596	11783	10897
sg_100533183_3	ZNF664-FAM101A	1707	1583	1110	3095	1938	1022
sg_9581_2	PREPL	2389	1868	1165	2112	2740	1622
sg_93664_3	CADPS2	2183	3033	3629	5836	3932	5148
sg_147040_1	KCTD11	2479	2410	2022	3177	2398	2999
sg_84695_2	LOXL3	1130	1020	471	815	523	601
sg_25806_4	VAX2	3366	3914	2923	5517	6232	4349
sg_389114_2	ZNF662	915	836	478	1971	862	677
sg_56062_4	KLHL4	2167	2747	2135	3683	3386	3409
sg_25903_1	OLFML2B	3169	2579	2720	5134	2894	2502
sg_55278_1	QRSL1	2841	3221	58	28	58	92
sg_255027_3	MPV17L	2444	2678	1053	1758	887	962
sg_4071_1	TM4SF1	3150	3764	2843	6920	5146	3678
sg_8760_2	CDS2	829	826	40	76	8	18
sg_100529239_1	RPS10-NUDT3	1475	969	577	850	1108	1149
sg_117531_1	TMC1	1046	809	330	343	279	363
sg_59285_1	CACNG6	1751	2003	1866	2929	2714	1701
sg_5150_2	PDE7A	1812	2528	2694	1833	2695	3017
sg_284217_1	LAMA1	1321	1709	1487	2195	1969	1825
sg_348932_3	SLC6A18	209	299	127	119	99	45
sg_3800_2	KIF5C	3103	2941	2228	3724	2951	3753
sg_9894_4	TELO2	1307	1104	86	71	90	0
sg_10505_1	SEMA4F	2237	1966	669	1572	926	885
sg_NTC_268	Non_Targeting_Control_268	2477	3972	4394	9443	6466	7412
sg_55361_4	PI4K2A	2217	3320	3594	4044	2649	3947
sg_1408_3	CRY2	1305	1036	650	1559	1217	931
sg_387338_2	NSUN4	1050	707	182	193	194	341
sg_79001_1	VKORC1	967	1364	1010	828	1397	885
sg_352954_1	GATS	549	658	443	737	502	727
sg_282617_4	IFNL3	1599	1890	1758	2387	2217	5045
sg_51175_1	TUBE1	2447	3400	886	970	1894	1429
sg_2735_1	GLI1	2107	1559	1796	2510	1282	1605
sg_10869_4	USP19	1508	1817	3276	5727	3054	4931
sg_9794_1	MAML1	1726	2126	1588	3414	2492	1886
sg_80714_4	PBX4	3076	2643	2647	3812	2841	3323
sg_91689_2	SMDT1	1352	1489	1874	3392	2722	3298
sg_27334_3	P2RY10	918	937	797	1364	1212	1868
sg_97_4	ACYP1	937	1147	803	1525	1133	1533
sg_644041_2	C18orf63	839	1348	1400	2967	1185	992
sg_51295_1	ECSIT	3638	4641	1575	2802	2430	1912
sg_7518_4	XRCC4	1667	1342	124	286	144	69
sg_284486_2	THEM5	2976	2600	1950	2862	2150	1850
sg_64976_2	MRPL40	2061	2098	427	941	1029	1450
sg_23197_4	FAF2	2033	2375	930	1098	481	637
sg_8832_1	CD84	1766	1604	1103	1925	1954	1190
sg_11336_1	EXOC3	602	448	110	235	178	81
sg_79577_4	CDC73	2628	2036	737	874	477	186
sg_23504_4	RIMBP2	2243	2402	2402	4321	4478	4139
sg_66004_3	LYNX1	2674	4299	4529	4701	3690	4447
sg_27436_1	EML4	2650	3240	3470	5103	4356	2733
sg_203611_3	CDY2B	1645	2449	3899	5626	7187	7350
sg_283554_2	GPR137C	2198	2044	2365	2048	3731	2894
sg_79631_3	EFTUD1	568	397	0	0	26	0
sg_6608_4	SMO	1971	2325	2143	2473	2487	3683
sg_5068_4	REG3A	2391	2392	1779	3426	1447	2265
sg_26149_4	ZNF658	1072	713	315	288	576	74
sg_714_2	C1QC	2284	3110	2798	3416	3560	3874
sg_9780_4	PIEZO1	1212	1585	1024	2620	2786	1795
sg_23014_2	FBXO21	3440	3291	4285	6194	6623	5874
sg_138428_3	PTRH1	352	385	309	262	421	766
sg_113201_4	CASC4	3200	3077	2658	4349	3913	3752
sg_120776_4	OR2D2	647	731	664	987	1154	1057
sg_440563_3	HNRNPCL2	1082	1416	2184	2983	2513	1573
sg_94097_3	SFXN5	740	1126	1153	1818	1207	1310
sg_2983_4	GUCY1B3	2308	2480	2735	4081	3217	2697
sg_50804_3	MYEF2	958	1179	1552	3208	1392	2043
sg_4170_2	MCL1	2374	1815	614	1568	379	988
sg_55640_3	FLVCR2	1914	2558	1659	2819	2496	1879
sg_8289_3	ARID1A	1855	1693	489	582	867	207
sg_84885_4	ZDHHC12	1717	1999	2465	4175	3823	3014
sg_7323_3	UBE2D3	823	640	313	627	446	558
sg_100534599_4	ISY1-RAB43	1066	173	8	61	19	127
sg_3890_3	KRT84	791	605	369	671	763	986
sg_51808_1	PHAX	1174	401	88	35	141	48
sg_10989_3	IMMT	1961	1659	209	395	393	351
sg_55784_1	MCTP2	899	1215	661	984	1278	1442
sg_5252_1	PHF1	2292	2105	2298	2355	2194	2987
sg_22916_2	NCBP2	1564	1055	132	41	39	39
sg_4082_1	MARCKS	783	715	1121	2192	925	866
sg_160065_3	PATE1	790	1009	913	1482	1257	1071
sg_9531_1	BAG3	1467	2252	2157	3438	3290	3337
sg_219487_1	OR5M11	1614	2227	1846	2977	2118	2730
sg_6778_1	STAT6	937	1092	434	1394	681	750
sg_1718_2	DHCR24	2139	1766	2088	1965	2119	1822
sg_282679_2	AQP11	2442	3965	3933	5247	6034	6124
sg_8525_4	DGKZ	1782	1439	1253	1190	1675	1299
sg_8404_1	SPARCL1	2406	2940	2602	3516	3832	2775
sg_1576_1	CYP3A4	1884	2337	3614	4208	3425	5557
sg_55726_2	ASUN	2453	2216	686	364	338	680
sg_398_3	ARHGDIG	1028	1098	543	1258	1038	863
sg_NTC_978	Non_Targeting_Control_978	2743	4283	5394	8108	7685	7589
sg_11157_2	LSM6	1878	971	4	45	50	0
sg_7804_2	LRP8	1985	2042	1700	1639	1238	2115
sg_116832_1	RPL39L	1219	1276	1301	1502	1688	681
sg_124997_2	WDR81	1690	2226	1184	2270	1484	1587
sg_51523_1	CXXC5	2780	3973	3079	4142	2994	3512
sg_51234_4	EMC4	1180	987	27	0	74	30
sg_339487_1	ZBTB8OS	866	563	518	1098	564	803
sg_83988_1	NCALD	2888	2412	551	972	619	1014
sg_5304_2	PIP	1469	1896	1315	2821	1685	1421
sg_79912_2	PYROXD1	2215	765	16	41	11	200
sg_57510_3	XPO5	2036	1557	375	476	237	207
sg_404220_2	C6orf201	1026	1197	872	1075	731	1268
sg_55321_4	TMEM74B	1196	1251	906	3420	3050	2923
sg_122553_4	TRAPPC6B	1999	2448	2983	3863	2535	3927
sg_5347_1	PLK1	2667	362	201	422	988	233
sg_6618_1	SNAPC2	3278	2468	101	391	88	261
sg_100130451_1	LOC100130451	3434	3696	536	1437	1153	498
sg_120066_4	OR5P3	649	662	1490	1502	1003	1063
sg_6988_3	TCTA	984	566	314	765	474	584
sg_474381_2	H2AFB2	2545	4121	3156	4368	3997	3886
sg_56265_3	CPXM1	1608	2571	3882	5924	3206	3382
sg_8660_1	IRS2	1533	1525	860	1647	1278	1251
sg_80319_4	CXXC4	957	1309	1259	1750	1493	2269
sg_NTC_90	Non_Targeting_Control_90	3383	4987	8658	11990	9500	10216
sg_130749_3	CPO	1466	1649	1473	3591	2149	1569
sg_6294_2	SAFB	1849	2136	2020	2301	2176	2536
sg_10505_2	SEMA4F	1240	1379	2003	2841	2024	793
sg_79858_2	NEK11	1539	1280	1556	1376	2019	1217
sg_79075_4	DSCC1	1302	1637	629	1038	199	402
sg_3199_1	HOXA2	431	545	718	593	583	705
sg_29997_3	GLTSCR2	281	82	0	0	0	0
sg_117286_1	CIB3	1112	1507	1323	1501	1735	993
sg_79822_2	ARHGAP28	5762	7420	6372	10333	7618	9231
sg_283461_1	C12orf40	1355	748	1310	1338	2050	1595
sg_10998_2	SLC27A5	1371	1554	1058	1699	1004	1365
sg_170482_2	CLEC4C	3925	5442	5995	7947	8312	6576
sg_6513_4	SLC2A1	2371	1554	708	823	730	982
sg_3612_3	IMPA1	2936	3535	3749	6262	4330	4335
sg_102288414_2	C11orf98	2173	2518	2238	5423	3245	2992
sg_85480_4	TSLP	749	775	361	420	919	411
sg_285852_4	TREML4	633	810	532	1663	2527	1850
sg_4242_4	MFNG	2134	3019	3609	5203	3720	4359
sg_1178_3	CLC	569	614	359	383	611	549
sg_140766_3	ADAMTS14	1177	1017	775	709	930	800
sg_84171_4	LOXL4	1327	1383	551	737	456	532
sg_284071_4	C17orf104	920	640	383	789	117	384
sg_80150_3	ASRGL1	1825	2234	1916	2907	3403	4258
sg_4973_3	OLR1	2192	2197	1286	2400	2293	1028
sg_79760_2	GEMIN7	1127	1236	175	505	242	426
sg_150248_3	C22orf15	1807	2288	1909	4515	2626	4854
sg_8772_2	FADD	598	546	480	898	1383	970
sg_2335_2	FN1	3146	3630	4612	6289	5973	6851
sg_9907_4	AP5Z1	912	1580	1989	2691	2701	3240
sg_6573_2	SLC19A1	2061	2081	1460	2051	1362	2626
sg_1687_4	DFNA5	1270	1733	1296	2416	1901	1985
sg_113802_4	HENMT1	2053	1633	603	1165	1317	825
sg_200728_2	TMEM17	804	1095	1558	3207	6793	3327
sg_6348_3	CCL3	1056	596	72	125	32	1
sg_23207_1	PLEKHM2	1315	1668	855	1058	651	712
sg_117154_4	DACH2	2559	3295	2518	2866	2110	2268
sg_161514_2	TBC1D21	2137	2041	2416	2206	2445	1285
sg_55654_2	TMEM127	1688	1354	1691	1883	2135	1597
sg_83446_2	CCDC70	2703	3723	3737	5125	4749	3447
sg_4319_4	MMP10	3240	2850	1719	3736	1717	1962
sg_57644_1	MYH7B	925	750	258	259	239	516
sg_23443_3	SLC35A3	1521	1409	1547	2164	2035	2037
sg_122481_4	AK7	605	620	434	876	1009	546
sg_9451_4	EIF2AK3	2354	2694	3373	3291	3870	3755
sg_9755_3	TBKBP1	2573	2072	1996	1955	2386	1820
sg_9328_4	GTF3C5	1564	2197	85	348	402	143
sg_84735_1	CNDP1	2496	3064	5129	5822	3650	3473
sg_23608_2	MKRN1	2754	2509	2304	2823	3637	3005
sg_100271715_4	ARHGEF33	1346	1545	633	721	1414	855
sg_4952_1	OCRL	3145	3363	1535	2858	2830	2711
sg_5199_2	CFP	623	822	2028	4658	1127	2411
sg_64927_1	TTC23	1653	1391	1034	1637	1722	1918
sg_115557_1	ARHGEF25	2297	1961	2386	4858	4210	3981
sg_170961_2	ANKRD24	2785	2847	3257	5778	4331	3897
sg_338675_4	OR5AP2	1512	2025	2383	3449	2514	2505
sg_9997_2	SCO2	1053	2051	526	530	1528	890
sg_83896_4	KRTAP3-1	3668	4290	3118	4998	3789	5356
sg_51314_2	NME8	2254	1949	3132	3566	2963	2111
sg_7695_4	ZNF136	1793	1963	1592	2700	1899	2509
sg_6257_1	RXRB	1678	1534	1544	2358	1105	1964
sg_7543_3	ZFX	769	520	45	267	290	199
sg_91646_1	TDRD12	3189	3186	3006	4700	4095	2837
sg_127069_2	OR2T10	2025	3298	3652	6159	6548	5090
sg_8676_2	STX11	3233	3071	4007	3548	5033	3067
sg_100131801_1	PET100	2239	1987	89	376	102	123
sg_5100_1	PCDH8	1555	1810	1026	2246	1684	2148
sg_114783_4	LMTK3	1172	950	584	1527	1439	1190
sg_254187_4	TSGA10IP	1718	1822	1139	2469	2193	1755
sg_124460_3	SNX20	4419	7085	10130	14173	11338	12220
sg_51123_4	ZNF706	1892	2348	1584	3198	1956	2793
sg_4077_1	NBR1	3266	4123	3313	4792	3530	4516
sg_7422_3	VEGFA	1596	1686	2329	3566	3492	4226
sg_10890_2	RAB10	2260	2009	164	478	339	306
sg_9735_1	KNTC1	1475	996	273	401	271	554
sg_8930_3	MBD4	1399	1704	1874	2724	2843	3574
sg_55511_1	SAGE1	2028	2697	3057	5873	4378	4622
sg_57456_4	KIAA1143	1217	1423	2294	3366	853	2933
sg_9114_1	ATP6V0D1	2339	570	78	129	43	81
sg_7991_3	TUSC3	1229	1883	2544	2582	2038	1928
sg_598_4	BCL2L1	485	230	6	47	59	0
sg_23350_4	U2SURP	1448	967	57	121	179	150
sg_2868_3	GRK4	1482	1645	991	1113	941	1312
sg_102724473_3	GAGE10	347	377	130	953	414	386
sg_11334_3	TUSC2	965	724	351	402	557	778
sg_442590_2	SPDYE5	2272	312	51	0	28	48
sg_391109_1	OR10K1	2941	4933	3823	4833	3133	4200
sg_101927423_2	PANO1	1836	1720	1823	1832	1285	1453
sg_644054_3	FAM25C	1068	387	46	207	51	53
sg_2215_1	FCGR3B	1498	1764	2271	2873	2779	2352
sg_3340_4	NDST1	2367	2547	2167	5814	3022	3571
sg_NTC_3	Non_Targeting_Control_3	3804	5385	9065	13632	11267	10268
sg_146542_2	ZNF688	2637	3238	3924	5851	5536	7319
sg_390882_4	OR7G2	2019	1758	2349	5325	5742	3541
sg_353_1	APRT	2088	1515	1365	2745	2358	1842
sg_5016_1	OVGP1	3838	2228	1755	2632	3659	1968
sg_3340_2	NDST1	4247	4688	4612	6002	7449	6202
sg_170679_3	PSORS1C1	2330	2431	2708	3036	2303	1915
sg_79411_3	GLB1L	1417	1193	813	1460	1257	1282
sg_9465_4	AKAP7	1963	2437	2646	5192	3321	5358
sg_9332_2	CD163	3139	3579	2146	4024	2663	3342
sg_80008_1	TMEM156	2697	2919	3732	5257	4859	4351
sg_26246_2	OR2L2	1153	1093	298	967	1188	1363
sg_28973_1	MRPS18B	1143	1093	31	183	38	21
sg_30816_2	ERVW-1	798	751	155	394	217	379
sg_84893_1	FBXO18	3637	4038	3274	5119	4336	4657
sg_51316_2	PLAC8	2590	3750	3222	3494	3725	3772
sg_26097_1	CHTOP	3131	2687	366	726	496	732
sg_64377_2	CHST8	1373	1564	724	1113	1020	805
sg_3274_4	HRH2	2715	3592	2789	4558	3178	3488
sg_55756_1	INTS9	2223	1214	32	112	0	0
sg_1371_4	CPOX	697	697	331	360	353	291
sg_389118_3	CDHR4	1835	1548	1423	1154	1085	2554
sg_643311_4	CT47B1	1664	1683	1750	2875	2121	1877
sg_341418_2	OR6C4	2075	1538	1363	1867	1313	1985
sg_11240_2	PADI2	1787	1550	1189	2259	1635	1326
sg_10981_2	RAB32	1645	2329	2465	3726	3279	2426
sg_55609_4	ZNF280C	1899	1884	1685	3150	2974	3473
sg_10237_3	SLC35B1	2654	1320	12	0	0	0
sg_643311_2	CT47B1	3409	5195	5349	5803	5301	5815
sg_441459_1	ANKRD18B	2553	2583	2884	3089	4631	3070
sg_348932_4	SLC6A18	2318	2614	2180	3684	2591	2285
sg_146857_1	SLFN13	2534	2928	2757	5827	3941	4038
sg_6335_1	SCN9A	4040	2913	2742	3487	3727	3874
sg_92_2	ACVR2A	2408	1769	680	981	1269	1173
sg_57348_2	TTYH1	1615	2118	790	1367	1291	875
sg_10955_3	SERINC3	1017	1237	2063	1726	2928	3026
sg_7307_3	U2AF1	1524	56	0	0	0	0
sg_23558_1	WBP2	2228	2807	2931	6271	3343	2676
sg_414059_4	TBC1D3B	2449	1543	983	850	1030	1002
sg_54866_4	PPP1R14D	2540	1983	1201	2115	889	1934
sg_1409_1	CRYAA	1011	1353	1472	2008	2246	1648
sg_9733_2	SART3	595	503	385	387	342	93
sg_255426_2	RASGEF1C	2715	3664	3364	4344	5367	3585
sg_84251_4	SGIP1	1017	984	952	3561	2058	1314
sg_6732_4	SRPK1	2814	2204	1301	1490	1803	1580
sg_2168_2	FABP1	3710	4975	4549	6882	4704	4135
sg_NTC_467	Non_Targeting_Control_467	2093	3274	4026	7507	5860	5922
sg_390259_3	BSX	1214	1892	1532	2875	2308	3070
sg_51703_3	ACSL5	2169	2341	3903	4734	3643	5988
sg_728062_1	CT47A6	2990	3871	3735	3562	3378	3468
sg_6536_4	SLC6A9	831	581	604	307	290	234
sg_100532736_2	MINOS1-NBL1	2391	2340	1433	1324	1393	1855
sg_64895_1	PAPOLG	2052	2591	2037	3187	2915	3292
sg_128602_2	C20orf85	1818	2065	2132	1862	3029	2571
sg_121364_1	OR10A7	375	418	252	211	165	471
sg_8131_3	NPRL3	2182	2947	2842	4408	3147	2829
sg_9402_1	GRAP2	1578	1496	1826	3525	2295	2717
sg_162972_1	ZNF550	3892	5311	4621	6812	5734	6248
sg_53353_1	LRP1B	2147	2225	1625	3029	3298	2040
sg_653659_4	TMEM183B	2378	1395	1048	1573	1633	1104
sg_200634_1	KRTCAP3	2076	2137	1984	2496	3057	2694
sg_284680_1	C1orf111	2003	2564	3339	4374	3080	2684
sg_10519_4	CIB1	1205	1249	1148	1513	1203	627
sg_54617_2	INO80	1960	1286	237	223	170	269
sg_79846_4	CFAP69	1888	1833	2075	4072	4282	3378
sg_8834_2	TMEM11	1866	2382	1416	3022	2789	2841
sg_119504_2	ANAPC16	1314	1921	1974	2138	2186	1661
sg_388284_3	C16orf86	2024	1542	3209	3876	3739	3784
sg_55272_3	IMP3	2578	505	9	0	31	0
sg_83851_2	SYT16	676	645	223	338	561	175
sg_79607_2	FAM118B	603	713	822	875	422	754
sg_29125_4	C11orf21	2201	2452	2294	4710	2465	2628
sg_9070_3	ASH2L	3346	2468	1045	914	849	996
sg_256892_3	OR51F1	1375	2238	2385	4270	2091	2322
sg_1642_1	DDB1	1007	1015	18	35	518	330
sg_388533_4	KRTDAP	769	829	869	1370	921	887
sg_8028_2	MLLT10	1889	2415	1442	1977	2801	1817
sg_2172_4	FABP6	1198	1160	861	821	1151	1683
sg_3431_1	SP110	1374	1505	857	1951	1117	1553
sg_9121_2	SLC16A5	3053	3607	3859	8583	6218	6600
sg_81850_3	KRTAP1-3	789	1410	1415	1506	1800	851
sg_222183_4	SRRM3	155	243	111	185	671	570
sg_NTC_509	Non_Targeting_Control_509	3721	5700	8290	11863	9775	11769
sg_284186_1	TMEM105	981	1538	1282	2623	2823	1660
sg_390181_1	OR5AK2	2863	3984	5463	6461	5083	5642
sg_147808_2	ZNF784	3805	4575	3942	5376	3903	4501
sg_79544_3	OR4K1	1609	1863	1027	1780	624	852
sg_1260_1	CNGA2	1205	1714	1880	2737	2263	3035
sg_6749_4	SSRP1	2575	3004	2931	4452	3057	3084
sg_1471_3	CST3	1028	1651	1920	2413	1594	2139
sg_79025_2	C20orf195	866	743	511	478	378	1240
sg_340895_2	MALRD1	1225	1520	1091	961	550	1066
sg_375607_2	NAT16	5199	6504	5884	9081	8192	7345
sg_90407_4	TMEM41A	2382	2343	881	1414	692	800
sg_7498_2	XDH	2000	1856	2018	3231	1067	2462
sg_2675_4	GFRA2	1377	1942	1797	2916	2811	1871
sg_5443_3	POMC	2622	3839	2868	4669	3208	3836
sg_396_2	ARHGDIA	1056	992	967	823	1432	1017
sg_8337_4	HIST2H2AA3	3716	3122	1176	1975	3237	1405
sg_5032_2	P2RY11	1869	3033	3622	5122	4526	4874
sg_89777_2	SERPINB12	3200	4989	6468	10796	6604	7812
sg_79783_1	SUGCT	3216	3937	2820	5667	4740	4573
sg_3181_4	HNRNPA2B1	1398	1402	656	874	212	283
sg_123041_1	SLC24A4	3565	5616	7400	10251	10625	11758
sg_57348_3	TTYH1	1147	1612	1765	2271	1820	2266
sg_55054_2	ATG16L1	2448	2793	1273	1761	1201	1241
sg_6856_4	SYPL1	1399	1866	1638	2195	2813	3401
sg_117143_4	TADA1	2443	3286	2846	4154	1404	1640
sg_100532736_1	MINOS1-NBL1	2233	2470	1514	2653	1977	2279
sg_408029_1	C2orf27B	1808	121	45	46	34	91
sg_492307_3	C8orf22	1148	1161	954	2020	1071	1818
sg_1759_3	DNM1	2149	2030	903	1401	1628	1237
sg_198437_1	LKAAEAR1	1795	2524	1669	2449	1835	1923
sg_114984_4	FLYWCH2	1836	2392	3046	4558	4994	2089
sg_10923_2	SUB1	990	1224	777	997	785	757
sg_23029_4	RBM34	1170	1062	573	656	548	237
sg_80777_2	CYB5B	735	836	7	34	36	3
sg_6019_3	RLN2	639	676	344	696	569	880
sg_5218_2	CDK14	3288	3744	4065	6151	4420	4668
sg_83604_2	TMEM47	1794	2131	1344	1709	1770	1842
sg_8787_3	RGS9	1404	1596	1532	3702	1107	2816
sg_23306_2	TMEM194A	1002	803	939	1658	1205	1003
sg_23191_4	CYFIP1	1418	1110	769	558	544	1912
sg_10371_4	SEMA3A	713	1007	940	1170	1126	1583
sg_51279_2	C1RL	1774	2133	3350	4585	3382	3731
sg_93129_2	ORAI3	2343	3133	3335	4219	4234	4937
sg_396_4	ARHGDIA	1396	1373	921	1805	2259	1477
sg_57095_1	PITHD1	3093	4165	4674	5446	5160	5720
sg_148811_4	PM20D1	1984	2026	1102	1346	1827	1399
