sgRNA	Gene	MDA-MB-231-Reference	MDA-MB-231-Baseline	MDA-MB-231-Vehicle-1	MDA-MB-231-Vehicle-2	MDA-MB-231-Cpd-1	MDA-MB-231-Cpd-2
sg_1675_3	CFD	1033	1080	1708	2225	1659	1379
sg_9194_1	SLC16A7	2084	1527	1706	1332	841	1435
sg_7718_4	ZNF165	672	552	151	413	428	167
sg_91_3	ACVR1B	1636	1754	1830	2902	2060	1336
sg_169841_2	ZNF169	1722	1516	967	1637	2233	2012
sg_440836_1	ODF3B	1925	3012	2844	3779	3281	4224
sg_9063_1	PIAS2	1996	2294	3189	5857	4591	5017
sg_283377_1	SPRYD4	1466	1272	1819	2634	3094	3327
sg_54482_1	TRMT13	892	1284	1019	3029	2480	2078
sg_79703_2	C11orf80	1373	1695	2602	2239	3610	1903
sg_135948_1	OR2F2	1547	1968	2860	4992	3783	5972
sg_5636_3	PRPSAP2	801	1332	1929	1409	3630	2088
sg_4800_2	NFYA	1040	706	693	1294	366	455
sg_283777_2	FAM169B	1003	1733	4821	2293	4613	1938
sg_56942_4	CMC2	1686	2056	1606	2161	3965	2459
sg_63901_3	FAM111A	499	568	435	1361	802	794
sg_7783_1	ZP2	1579	1785	1045	1281	1659	1870
sg_66000_2	TMEM108	614	887	1045	782	1064	1160
sg_79414_4	LRFN3	1126	1107	1104	1598	1021	732
sg_3276_2	PRMT1	1849	1288	0	0	0	0
sg_2967_2	GTF2H3	2005	1220	8	23	36	0
sg_4524_4	MTHFR	904	1063	908	769	899	1566
sg_142680_3	SLC34A3	678	973	721	851	1358	962
sg_84284_1	NTPCR	2307	3071	5362	7719	4232	4983
sg_6252_2	RTN1	455	553	86	432	237	234
sg_7270_3	TTF1	1608	1137	523	713	1391	895
sg_6817_2	SULT1A1	2535	4185	2787	8912	4936	5881
sg_55103_4	RALGPS2	1964	1900	1355	2017	1263	1814
sg_646019_4	CBY3	811	1505	1556	2383	2996	2965
sg_116540_4	MRPL53	1404	1452	250	245	346	408
sg_440498_1	HSBP1L1	2668	3466	4939	6607	6228	5225
sg_80206_1	FHOD3	978	659	377	1265	192	1044
sg_219287_2	AMER2	1844	1764	2402	3464	3102	1619
sg_51231_3	VRK3	330	457	297	1404	118	445
sg_89887_3	ZNF628	1818	2989	4974	5086	3901	4691
sg_5698_1	PSMB9	651	821	384	827	475	1662
sg_238_3	ALK	1289	1116	708	1131	1107	727
sg_157378_4	TMEM65	845	1026	1447	1669	1341	2255
sg_27129_2	HSPB7	971	1066	690	3156	1050	1463
sg_84838_4	ZNF496	714	840	1349	1608	1158	968
sg_3868_1	KRT16	1146	989	645	1235	1153	1088
sg_191585_3	PLAC4	952	1533	1493	2239	2116	988
sg_NTC_689	Non_Targeting_Control_689	2560	3494	5321	8567	6760	7883
sg_51585_1	PCF11	2255	1355	1479	1501	1508	1669
sg_84433_2	CARD11	2006	2351	1976	2210	1811	1653
sg_64288_2	ZSCAN31	729	1159	1033	2035	1823	1761
sg_389827_4	TMEM8C	1791	2179	1337	3006	3036	3040
sg_6276_3	S100A5	633	470	489	1121	589	394
sg_55521_4	TRIM36	704	835	1086	1124	563	495
sg_6619_1	SNAPC3	732	575	66	114	37	60
sg_23001_4	WDFY3	1035	1175	909	1215	1161	955
sg_57088_4	PLSCR4	1199	1626	1386	2307	1701	1815
sg_29095_3	ORMDL2	2850	1383	488	764	724	334
sg_348110_4	ARPIN	2063	2324	2073	2883	2833	3030
sg_4637_2	MYL6	820	476	257	853	965	622
