"","Gene","score","fdr","lfc","normZ","rank","fdr_synth","geneType","Classification"
"3331","RCN2",0.099754,0.985333,-0.18698,-0.56,5020,0.99,NA,"other"
"3332","NCAM2",0.099769,0.985333,0.064275,0.73,13592,0.993,NA,"other"
"3333","FGF17",0.099852,0.985333,0.1168,0.15,9880,0.99,NA,"other"
"3334","HSD17B1",0.099949,0.985333,-0.49913,1.23,15716,0.995,NA,"other"
"3335","RPL23",0.099955,0.985333,-1.0054,-1.09,2364,0.99,NA,"other"
"3336","FOXL1",0.099961,0.985333,-3.5316,-1.56,1001,0.99,NA,"other"
"3337","TSR3",0.1,0.985333,-0.48365,0.06,9147,0.99,NA,"other"
"3338","TMEM213",0.10001,0.985333,-0.091332,0.15,9826,0.99,NA,"other"
"3339","CTAGE1",0.10003,0.985333,-0.41789,-0.24,7143,0.99,NA,"other"
"3340","ARHGEF12",0.10014,0.985333,-0.033502,-0.33,6473,0.99,NA,"other"
"3341","CEP55",0.10016,0.985333,-1.9054,-1.04,2538,0.99,NA,"other"
"3342","OR4D10",0.10027,0.985333,-2.3677,-1.56,1024,0.99,"Nonessential","Nonessential"
"3343","SLC38A9",0.1003,0.985333,-1.4974,-0.6,4765,0.99,NA,"other"
"3344","C10orf68",0.10032,0.985333,-0.7471,1.54,16499,0.998,NA,"other"
"3345","SEPSECS",0.10035,0.985333,-0.61737,-0.68,4329,0.99,NA,"other"
"3346","CD207",0.10039,0.985333,-1.8637,-1.08,2400,0.99,NA,"other"
"3347","CCDC105",0.10039,0.985333,-0.98073,-0.36,6286,0.99,NA,"other"
"3348","KRTAP10-9",0.10043,0.985333,-2.3257,-0.91,3108,0.99,"Nonessential","Nonessential"
"3349","TTF1",0.10047,0.985333,-0.54209,-0.4,6018,0.99,NA,"other"
"3350","NRSN2",0.10047,0.985333,-2.4246,-0.69,4254,0.99,NA,"other"
"3351","SCNN1G",0.10051,0.985333,-0.80904,0.06,9233,0.99,NA,"other"
"3352","HERC3",0.10054,0.985333,-2.0806,0.01,8874,0.99,NA,"other"
"3353","KCNJ6",0.10056,0.985333,-1.4135,-0.66,4449,0.99,NA,"other"
"3354","RNF14",0.10064,0.985333,-3.9733,-1.58,968,0.99,NA,"other"
"3355","CIITA",0.10065,0.985333,-1.3401,-0.67,4351,0.99,NA,"other"
"3356","SLC10A2",0.10067,0.985333,-4.8633,-1.21,1963,0.99,"Nonessential","Nonessential"
"3357","SLC12A8",0.10071,0.985333,-1.4541,-0.85,3424,0.99,NA,"other"
"3358","RPA2",0.10076,0.985333,-3.3658,-0.89,3192,0.99,NA,"other"
"3359","ZNF746",0.10081,0.985333,-0.85144,-0.65,4487,0.99,NA,"other"
"3360","NXPH1",0.10083,0.985333,0.35541,-0.98,2779,0.99,NA,"other"
"3361","LRRC38",0.10087,0.985333,-2.0972,-1.01,2671,0.99,NA,"other"
"3362","PCDHGA5",0.10089,0.985333,-0.93282,-1.04,2519,0.99,NA,"other"
"3363","CST2",0.10094,0.985333,-3.2687,-1.05,2512,0.99,NA,"other"
"3364","SAMD15",0.10096,0.985333,-2.0635,-1.14,2200,0.99,NA,"other"
"3365","SLMAP",0.10098,0.985333,-1.6577,-1.04,2537,0.99,NA,"other"
"3366","COL20A1",0.10098,0.985333,-4.3386,-0.82,3555,0.99,"Nonessential","Nonessential"
"3367","UTRN",0.10102,0.985333,-0.66572,-0.61,4738,0.99,NA,"other"
"3368","HSDL2",0.10104,0.985333,-1.1453,-0.46,5643,0.99,NA,"other"
"3369","FAM181B",0.10106,0.985333,-2.3712,-1.4,1398,0.99,NA,"other"
"3370","CREBL2",0.10107,0.985333,-1.0686,-0.74,3986,0.99,NA,"other"
"3371","HEPH",0.10113,0.985333,-1.048,-0.43,5852,0.99,NA,"other"
"3372","CUL4A",0.10119,0.985333,-0.29722,0.18,10108,0.99,NA,"other"
"3373","VCPKMT",0.10137,0.985333,-0.73337,-0.78,3777,0.99,NA,"other"
"3374","AQP5",0.10141,0.985333,0.31203,0.13,9679,0.99,NA,"other"
"3375","AHRR",0.10145,0.985333,-1.0778,-0.75,3933,0.99,NA,"other"
"3376","OR2M4",0.10145,0.985333,-0.54201,-0.55,5055,0.99,NA,"other"
"3377","STK4",0.10151,0.985333,0.53729,0.12,9623,0.99,NA,"other"
"3378","PPARA",0.10151,0.985333,-2.6523,-0.33,6492,0.99,NA,"other"
"3379","SEC24A",0.10151,0.985333,-2.6523,-1.02,2638,0.99,NA,"other"
"3380","NUCB2",0.10151,0.985333,-2.82,-0.27,6879,0.99,NA,"other"
"3381","KLRF1",0.10151,0.985333,-2.6523,-1.06,2460,0.99,NA,"other"
"3382","VPS45",0.10151,0.985333,-1.565,-0.74,3970,0.99,NA,"other"
"3383","HHIP",0.10151,0.985333,-2.6523,-0.66,4435,0.99,NA,"other"
"3384","PPP1R12B",0.10153,0.985333,-2.7758,-1.67,799,0.99,NA,"other"
"3385","TUBG2",0.10154,0.985333,-0.14169,-0.03,8509,0.99,NA,"other"
"3386","CPSF3",0.10158,0.985333,-1.1153,-0.47,5541,0.99,NA,"other"
"3387","LHX2",0.1016,0.985333,-0.73134,-0.22,7231,0.99,NA,"other"
"3388","LGALSL",0.10164,0.985333,-1.2783,-1.28,1748,0.99,NA,"other"
"3389","RCC2",0.10168,0.985333,-6.3701,-1.64,858,0.99,NA,"other"
"3390","ZNF800",0.10169,0.985333,-1.3973,-0.82,3585,0.99,NA,"other"
"3391","PLXNB2",0.1017,0.985333,-0.47927,-0.26,6986,0.99,NA,"other"
"3392","LRP10",0.10175,0.985333,-1.4614,-0.59,4838,0.99,NA,"other"
"3393","PPP1R10",0.10184,0.985333,-4.5884,-1.58,972,0.99,NA,"other"
"3394","ELAC2",0.10187,0.985333,-0.42539,-0.3,6712,0.99,NA,"other"
"3395","SPC24",0.10191,0.985333,-1.8798,-0.72,4051,0.99,NA,"other"
"3396","GPR132",0.10207,0.985333,-4.7137,-1.57,986,0.99,NA,"other"
"3397","LTA4H",0.10209,0.985333,-1.2327,-0.7,4183,0.99,NA,"other"
"3398","ARRDC1",0.10217,0.985333,-3.587,-1.88,525,0.99,NA,"other"
"3399","COX6A2",0.10217,0.985333,0.51395,0.5,12170,0.99,NA,"other"
"3400","ZNF554",0.1022,0.985333,-0.85983,-0.38,6164,0.99,NA,"other"
"3401","TMEM248",0.1023,0.985333,-1.4747,-0.75,3904,0.99,NA,"other"
"3402","C4orf29",0.10231,0.985333,-1.9586,-0.84,3469,0.99,NA,"other"
"3403","N6AMT1",0.10238,0.985333,-1.8026,-0.52,5257,0.99,"Essential","Essential"
"3404","SLC13A4",0.10239,0.985333,-3.4419,-1.55,1027,0.99,NA,"other"
"3405","ANKDD1B",0.1024,0.985333,-1.171,-0.96,2891,0.99,NA,"other"
"3406","PRSS21",0.10242,0.985333,-0.5346,-0.5,5379,0.99,NA,"other"
"3407","ACADVL",0.10243,0.985333,-2.3846,-1.03,2562,0.99,NA,"other"
"3408","OR6C74",0.10243,0.985333,-0.98402,-0.14,7786,0.99,NA,"other"
"3409","CFHR4",0.10243,0.985333,-3.2943,-0.16,7629,0.99,NA,"other"
"3410","RND1",0.10245,0.985333,-1.7226,-0.94,2982,0.99,NA,"other"
"3411","ALOX15",0.1025,0.985333,-0.25492,0.2,10198,0.99,NA,"other"
"3412","RNF7",0.1025,0.985333,-2.387,-0.55,5062,0.99,NA,"other"
"3413","C14orf1",0.10257,0.985333,-2.6472,-0.95,2943,0.99,NA,"other"
"3414","ALDH1L2",0.10257,0.985333,-2.6472,-1.45,1270,0.99,NA,"other"
"3415","EVC",0.10257,0.985333,-2.82,-1.45,1268,0.99,NA,"other"
"3416","ZCCHC2",0.10257,0.985333,-3.9709,-1.29,1728,0.99,NA,"other"
"3417","SSX2IP",0.10259,0.985333,-3.2569,-0.52,5250,0.99,NA,"other"
"3418","CMC1",0.10261,0.985333,-0.6653,-0.39,6091,0.99,NA,"other"
"3419","BCAP29",0.10279,0.985333,-4.4123,-0.96,2893,0.99,NA,"other"
"3420","FBXO41",0.10279,0.985333,-4.1144,-1.25,1855,0.99,NA,"other"
"3421","ATG4A",0.10283,0.985333,-1.7256,-1.56,1015,0.99,NA,"other"
"3422","NOSIP",0.10285,0.985333,-2.6758,-1.01,2656,0.99,NA,"other"
"3423","TBC1D28",0.10288,0.985333,-4.0088,-1.68,785,0.99,NA,"other"
"3424","TAPBPL",0.10293,0.985333,-1.7056,-0.29,6725,0.99,NA,"other"
"3425","CELA3A",0.10295,0.985333,-0.31245,-0.02,8645,0.99,NA,"other"
"3426","ANK3",0.10296,0.985333,-0.78054,-0.84,3477,0.99,NA,"other"
"3427","NUP210L",0.10298,0.985333,0.3277,0.53,12461,0.991,NA,"other"
"3428","KY",0.10301,0.985333,-1.2225,-0.68,4308,0.99,NA,"other"
"3429","FCGR1A",0.10302,0.985333,-2.8573,-1.27,1766,0.99,NA,"other"
"3430","JMY",0.10304,0.985333,-0.41248,-0.69,4263,0.99,NA,"other"
"3431","SCRIB",0.1031,0.985333,-3.2169,-1.3,1677,0.99,NA,"other"
"3432","H2AFZ",0.10316,0.985333,-2.8909,-1.33,1584,0.99,NA,"other"
"3433","PKP4",0.10324,0.985333,-2.8292,-0.8,3652,0.99,NA,"other"
"3434","QTRT1",0.10332,0.985333,-1.1316,-0.56,5024,0.99,NA,"other"
"3435","LRRC10",0.10332,0.985333,-1.7147,-0.67,4378,0.99,NA,"other"
"3436","HGS",0.10342,0.985333,-1.7353,-1.49,1172,0.99,NA,"other"
"3437","FETUB",0.10346,0.985333,-0.80904,-0.38,6130,0.99,NA,"other"
"3438","CAPZA3",0.10353,0.985333,-0.63694,-0.54,5102,0.99,NA,"other"
"3439","NT5DC1",0.10353,0.985333,-1.1707,-0.44,5775,0.99,NA,"other"
"3440","PTPRF",0.10355,0.985333,-1.8401,-0.8,3688,0.99,NA,"other"
"3441","GIMAP8",0.10356,0.985333,-3.2222,-0.92,3080,0.99,NA,"other"
"3442","DRD4",0.10356,0.985333,-4.6401,-1.44,1301,0.99,NA,"other"
"3443","STEAP4",0.10356,0.985333,-1.7093,-0.93,3016,0.99,NA,"other"
"3444","PRPS2",0.10358,0.985333,-2.2835,-0.76,3888,0.99,NA,"other"
"3445","EIF1B",0.10362,0.985333,-1.8076,-0.76,3863,0.99,NA,"other"
"3446","MORC2",0.1037,0.985333,-1.8363,-0.93,3017,0.99,NA,"other"
"3447","RAG2",0.1037,0.985333,-3.9595,-1.49,1168,0.99,NA,"other"
"3448","ABHD16B",0.10372,0.985333,-1.0682,-0.42,5879,0.99,NA,"other"
"3449","F9",0.10376,0.985333,-2.4918,-1.44,1295,0.99,NA,"other"
"3450","SPTLC3",0.10377,0.985333,-0.71054,-0.63,4584,0.99,NA,"other"
"3451","CRYBA4",0.10377,0.985333,-2.4112,-0.56,5007,0.99,NA,"other"
"3452","ZCCHC3",0.10388,0.985333,-3.3766,-1.46,1247,0.99,NA,"other"
"3453","RELA",0.10389,0.985333,-1.6645,-0.8,3651,0.99,NA,"other"
"3454","PCNA",0.1039,0.985333,-1.3069,-1.16,2122,0.99,NA,"other"
"3455","SLC6A7",0.1039,0.985333,-0.5135,0.28,10744,0.99,NA,"other"
"3456","RASGRP3",0.10391,0.985333,-1.4761,-1.29,1719,0.99,NA,"other"
"3457","SULT1C3",0.10395,0.985333,-0.8723,0.68,13278,0.992,NA,"other"
"3458","RNF10",0.10397,0.985333,-1.8483,-1.52,1117,0.99,NA,"other"
"3459","CHD8",0.104,0.985333,-1.014,-0.68,4284,0.99,NA,"other"
"3460","PIDD",0.10402,0.985333,-2.295,-1.28,1733,0.99,NA,"other"
"3461","B4GALT2",0.1041,0.985333,-2.1343,-0.81,3596,0.99,NA,"other"
"3462","TMEM31",0.10411,0.985333,-3.7527,-1.12,2283,0.99,NA,"other"
"3463","OR5A2",0.10411,0.985333,-4.29,-1.16,2120,0.99,NA,"other"
"3464","FAM9A",0.10413,0.985333,-0.96409,-0.06,8350,0.99,NA,"other"
"3465","NSUN5",0.10421,0.985333,-4.1697,-1.77,659,0.99,NA,"other"
"3466","GRAMD4",0.10428,0.985333,-2.9701,-0.5,5380,0.99,NA,"other"
"3467","SLC22A4",0.1043,0.985333,-1.3442,-1.13,2217,0.99,NA,"other"
"3468","AHR",0.10433,0.985333,-0.30591,-0.27,6864,0.99,NA,"other"
"3469","RXRA",0.10433,0.985333,-1.2793,-0.84,3449,0.99,NA,"other"
"3470","CTNNA3",0.10434,0.985333,-0.25362,-0.1,8032,0.99,NA,"other"
"3471","OSBPL10",0.10437,0.985333,-4.0655,-0.98,2795,0.99,NA,"other"
"3472","SUN2",0.10437,0.985333,-1.5395,-1.15,2142,0.99,NA,"other"
"3473","GIPC1",0.10439,0.985333,-0.78985,-0.32,6532,0.99,NA,"other"
"3474","EMILIN1",0.10446,0.985333,-1.1402,-0.76,3839,0.99,NA,"other"
"3475","CELF4",0.10446,0.985333,-0.73326,-0.35,6327,0.99,NA,"other"
"3476","CDH19",0.1045,0.985333,-2.1427,-0.94,2998,0.99,NA,"other"
"3477","ZNF707",0.10451,0.985333,-1.9585,-0.9,3163,0.99,NA,"other"
"3478","IGLL5",0.10455,0.985333,-4.3115,-0.91,3099,0.99,NA,"other"
"3479","P4HA1",0.10455,0.985333,-4.0098,-1.06,2470,0.99,NA,"other"
"3480","RGS17",0.10462,0.985333,-1.8658,-0.99,2745,0.99,NA,"other"
"3481","WNT8B",0.10464,0.985333,-0.84498,0.1,9505,0.99,NA,"other"
"3482","AIP",0.1047,0.985333,-3.1023,-0.96,2897,0.99,NA,"other"
"3483","ZNF22",0.10481,0.985333,-4.5433,-1.73,713,0.99,NA,"other"
"3484","NKX1-2",0.10487,0.985333,-4.9923,-1.74,695,0.99,NA,"other"
"3485","TUSC1",0.10489,0.985333,-1.502,-0.76,3876,0.99,NA,"other"
"3486","ZNF692",0.10489,0.985333,-0.52759,-0.24,7134,0.99,NA,"other"
"3487","ARFGAP1",0.1049,0.985333,-1.7662,-1.16,2115,0.99,NA,"other"
"3488","CDK2AP2",0.10493,0.985333,-0.95577,-0.79,3727,0.99,NA,"other"
"3489","WNT10A",0.10498,0.985333,-2.709,-0.43,5809,0.99,NA,"other"
"3490","RSPH9",0.10501,0.985333,-1.0434,-0.95,2915,0.99,NA,"other"
"3491","HHEX",0.10501,0.985333,-0.46948,-0.46,5632,0.99,NA,"other"
"3492","IP6K3",0.10515,0.985333,-3.4425,-1.28,1735,0.99,NA,"other"
"3493","KHK",0.1052,0.985333,-0.80904,-0.86,3378,0.99,NA,"other"
"3494","CXorf27",0.10529,0.985333,-1.207,-0.41,5920,0.99,NA,"other"
"3495","TMED10",0.10533,0.985333,-1.5607,-0.69,4260,0.99,NA,"other"
"3496","PLEKHS1",0.10535,0.985333,-1.7252,-0.76,3856,0.99,NA,"other"
"3497","ZDHHC12",0.10538,0.985333,-1.7131,-0.66,4415,0.99,NA,"other"
"3498","ZNF766",0.10545,0.985333,-1.3074,-1.12,2269,0.99,NA,"other"
"3499","SHARPIN",0.10548,0.985333,-2.7947,-0.77,3808,0.99,NA,"other"
"3500","HTR3C",0.10551,0.985333,-0.68963,0.28,10709,0.99,NA,"other"
"3501","CCBL2",0.10553,0.985333,-1.201,0.27,10632,0.99,NA,"other"
"3502","IQCF1",0.10558,0.985333,-1.7136,-0.45,5708,0.99,"Nonessential","Nonessential"
"3503","FEM1A",0.10558,0.985333,-1.88,-1.04,2541,0.99,NA,"other"
"3504","PPAP2B",0.10565,0.985333,-1.2676,-0.61,4734,0.99,NA,"other"
"3505","ERC1",0.10578,0.985333,-2.8154,-0.45,5713,0.99,NA,"other"
"3506","TRPM2",0.10578,0.985333,-2.5189,-0.72,4048,0.99,NA,"other"
"3507","ATN1",0.10583,0.985333,-1.7131,-0.39,6083,0.99,NA,"other"
"3508","CARF",0.1059,0.985333,0.12183,0.19,10153,0.99,NA,"other"
"3509","CWC25",0.10595,0.985333,-2.82,-1.67,803,0.99,NA,"other"
"3510","ORAOV1",0.10599,0.985333,-0.2174,0,8753,0.99,NA,"other"
"3511","PGPEP1L",0.10618,0.985333,-1.7128,-0.87,3287,0.99,NA,"other"
"3512","PLEKHA5",0.10621,0.985333,-1.0761,-0.44,5763,0.99,NA,"other"
"3513","ANPEP",0.10622,0.985333,-0.77992,-0.49,5424,0.99,NA,"other"
"3514","DHRS3",0.10623,0.985333,-4.5201,-1.23,1905,0.99,NA,"other"
"3515","NEDD4",0.10626,0.985333,1.1309,0.98,14777,0.993,NA,"other"
"3516","TMEM138",0.10627,0.985333,-1.1303,-0.86,3385,0.99,NA,"other"
"3517","NKD2",0.10628,0.985333,-2.3034,-0.78,3753,0.99,NA,"other"
"3518","PMEL",0.10631,0.985333,-1.2103,-0.69,4225,0.99,NA,"other"
"3519","EID3",0.10633,0.985333,-2.8947,-1.73,719,0.99,NA,"other"
"3520","TDRD10",0.10634,0.985333,-2.2585,-0.74,3955,0.99,NA,"other"
"3521","WDR41",0.10637,0.985333,0.35225,0.45,11905,0.99,NA,"other"
"3522","CSNK1A1L",0.10638,0.985333,-3.3685,-1.11,2288,0.99,NA,"other"
"3523","XPO7",0.10641,0.985333,-2.4078,-0.9,3176,0.99,NA,"other"
"3524","KIF14",0.10647,0.985333,-3.22,-0.74,3984,0.99,NA,"other"
"3525","PDE4DIP",0.10656,0.985333,-2.2557,-0.91,3122,0.99,NA,"other"
"3526","ZFP69",0.10661,0.985333,-1.6294,-0.67,4340,0.99,NA,"other"
"3527","MRPS26",0.10662,0.985333,-0.71838,-0.32,6557,0.99,NA,"other"
"3528","NCAPG",0.10662,0.985333,-1.1434,-0.69,4266,0.99,"Essential","Essential"
"3529","AGK",0.10664,0.985333,-0.60907,-0.16,7647,0.99,NA,"other"
"3530","OR5J2",0.10664,0.985333,-2.4852,-1.19,2035,0.99,NA,"other"
"3531","C13orf35",0.1067,0.985333,-4.2602,-1.24,1875,0.99,NA,"other"
"3532","HOOK3",0.10676,0.985333,0.21542,0.29,10813,0.99,NA,"other"
"3533","PKIB",0.10682,0.985333,-0.28596,-1.5,1155,0.99,NA,"other"
"3534","DCK",0.10688,0.985333,-1.6713,-0.54,5143,0.99,NA,"other"
"3535","DIRAS3",0.10691,0.985333,-0.37027,-0.26,6955,0.99,NA,"other"
"3536","GSPT1",0.10696,0.985333,-1.1897,-0.65,4486,0.99,NA,"other"
"3537","YME1L1",0.10699,0.985333,-5.2849,-1.48,1200,0.99,NA,"other"
"3538","PI16",0.107,0.985333,-4.6167,-1.56,1020,0.99,NA,"other"
"3539","TBL1X",0.10707,0.985333,-2.5369,0.14,9792,0.99,NA,"other"
"3540","CARS2",0.1071,0.985333,-1.5638,-0.38,6127,0.99,NA,"other"
"3541","ZSCAN22",0.10718,0.985333,-0.89852,-0.91,3106,0.99,NA,"other"
"3542","SNX14",0.10718,0.985333,-1.4856,-0.64,4541,0.99,NA,"other"
"3543","STAB1",0.1072,0.985333,-0.16034,0.31,10939,0.99,NA,"other"
"3544","DR1",0.10726,0.985333,-0.96056,-0.43,5832,0.99,"Essential","Essential"
"3545","CXorf24",0.10742,0.985333,-1.3846,-1.55,1035,0.99,NA,"other"
"3546","LMO2",0.10749,0.985333,-2.3016,-0.66,4418,0.99,NA,"other"
"3547","SLC35A5",0.10749,0.985333,-3.7777,-1.05,2486,0.99,NA,"other"
"3548","STX16",0.1075,0.985333,-2.4802,-0.72,4068,0.99,NA,"other"
"3549","TMEM200C",0.10751,0.985333,-0.36239,-0.05,8417,0.99,NA,"other"
"3550","RFC3",0.10755,0.985333,-1.8589,-0.69,4238,0.99,NA,"other"
"3551","DMPK",0.10757,0.985333,0.26891,-0.45,5723,0.99,NA,"other"
"3552","TMEM123",0.10763,0.985333,-0.63496,-0.62,4671,0.99,NA,"other"
"3553","FGF21",0.10766,0.985333,-3.6865,-1.49,1178,0.99,NA,"other"
"3554","TMPRSS5",0.10776,0.985333,-1.1437,-1.12,2277,0.99,NA,"other"
"3555","SUN1",0.10778,0.985333,-0.87868,-1.05,2507,0.99,NA,"other"
"3556","NUSAP1",0.10778,0.985333,-4.8256,-1.55,1033,0.99,NA,"other"
"3557","FOXQ1",0.10782,0.985333,-1.5408,-0.93,3008,0.99,NA,"other"
"3558","C16orf72",0.10783,0.985333,-1.7222,-0.94,2991,0.99,NA,"other"
"3559","CAMLG",0.10791,0.985333,-4.5854,-1.52,1111,0.99,NA,"other"
"3560","PCDHGA2",0.10794,0.985333,-0.8621,-0.7,4154,0.99,NA,"other"
"3561","NDUFA5",0.10797,0.985333,-0.46471,-0.97,2845,0.99,NA,"other"
"3562","MFRP",0.10799,0.985333,-1.1303,-0.7,4193,0.99,NA,"other"
"3563","FAM174A",0.108,0.985333,-1.0569,-0.39,6067,0.99,NA,"other"
"3564","SLC4A1AP",0.10801,0.985333,-0.64414,-1.01,2667,0.99,NA,"other"
"3565","IL1RAPL1",0.10802,0.985333,-0.87789,0.34,11124,0.99,NA,"other"
"3566","MAP3K8",0.10807,0.985333,-4.2212,-1.64,860,0.99,NA,"other"
"3567","HHLA2",0.10807,0.985333,-4.2264,-1.63,871,0.99,NA,"other"
"3568","MAFA",0.10807,0.985333,-2.4234,-0.72,4056,0.99,NA,"other"
"3569","CRYBB3",0.10808,0.985333,-1.5835,-0.73,4013,0.99,NA,"other"
"3570","LCN9",0.10811,0.985333,-0.83058,-0.48,5499,0.99,NA,"other"
