"","Gene","score","fdr","lfc","normZ","rank","fdr_synth","geneType","Classification"
"1","RPS21",2.328e-05,0.471535,-0.92515,-3.32,17,0.472,"Essential","Essential"
"2","ATP2C1",3.3607e-05,0.471535,-0.91854,-1.92,489,0.979,NA,"other"
"3","UPF3A",4.0917e-05,0.471535,-2.021,-3.52,10,0.353,NA,"other"
"4","SF3B3",4.418e-05,0.509901,-0.69347,-2.4,172,0.846,"Essential","Essential"
"5","BAP1",4.9336e-05,0.471535,-1.1415,-2.64,88,0.816,NA,"other"
"6","MRPL43",8.5356e-05,0.583489,-0.84809,-2.61,94,0.833,NA,"other"
"7","CDK10",0.0001064,0.583489,-1.0865,-2.43,150,0.846,NA,"other"
"8","PET117",0.00011202,0.583489,-3.2448,-2.25,238,0.906,NA,"other"
"9","NSF",0.00012854,0.583489,-5.5171,-3.83,5,0.225,NA,"other"
"10","EWSR1",0.00013012,0.583489,-0.553,-0.96,2887,0.99,NA,"other"
"11","PSTK",0.00013442,0.583489,-3.0113,-4.54,1,0.0491,NA,"other"
"12","SOD2",0.00015975,0.583489,-1.1322,-3.05,32,0.614,NA,"other"
"13","PES1",0.00018509,0.583489,-1.0373,-2.02,391,0.967,"Essential","Essential"
"14","PWWP2A",0.00018955,0.583489,-1.373,-2.65,82,0.816,NA,"other"
"15","DDX56",0.00022174,0.583489,-1.2716,-2.75,67,0.774,"Essential","Essential"
"16","CHAMP1",0.00024644,0.583489,0.18256,-0.09,8100,0.99,NA,"other"
"17","TUBB4B",0.00029029,0.583489,-0.95913,-2.05,366,0.958,NA,"other"
"18","THG1L",0.00029124,0.583489,-2.1295,-2.48,130,0.846,NA,"other"
"19","CDK6",0.00029512,0.583489,-0.58936,-1.31,1635,0.99,NA,"other"
"20","SLC5A6",0.00029629,0.583489,-2.0024,-2.47,133,0.846,NA,"other"
"21","THRSP",0.00031363,0.583489,-1.432,-1.9,513,0.99,NA,"other"
"22","TJP3",0.00032486,0.583489,-1.2817,-1.96,450,0.979,NA,"other"
"23","NDNL2",0.00032823,0.583489,-1.081,-3.26,19,0.503,NA,"other"
"24","TRAIP",0.00033525,0.583489,-1.6612,-1.9,506,0.99,NA,"other"
"25","LETM1",0.00033605,0.583489,-0.22625,-1.43,1321,0.99,NA,"other"
"26","C22orf43",0.00034141,0.583489,-3.6314,-4.09,3,0.126,NA,"other"
"27","GLT8D2",0.00036396,0.583489,-2.3787,-2.82,54,0.743,NA,"other"
"28","MEN1",0.00037218,0.583489,-1.8432,-2.41,164,0.846,NA,"other"
"29","RNASEH1",0.00040323,0.618296,-0.50555,-1.41,1390,0.99,NA,"other"
"30","TAS2R7",0.0004221,0.618296,-2.7921,-3.2,22,0.542,"Nonessential","Nonessential"
"31","ELOF1",0.00043276,0.583489,-3.5251,-3.08,31,0.585,NA,"other"
"32","RMND5A",0.00043721,0.618296,-2.8579,-3,37,0.627,NA,"other"
"33","PLCL1",0.0004609,0.618296,-0.70711,-1.49,1188,0.99,NA,"other"
"34","LRRC20",0.00047082,0.618296,-0.59509,-1.61,920,0.99,NA,"other"
"35","UBE2G2",0.00048171,0.583489,-0.55511,-1.26,1811,0.99,NA,"other"
"36","MARVELD2",0.00050846,0.642079,-1.2985,-2.1,327,0.944,NA,"other"
"37","TP53BP2",0.00051525,0.583489,-0.85931,-1.49,1180,0.99,NA,"other"
"38","PLEKHO2",0.00052073,0.583489,-1.7867,-3.25,20,0.503,NA,"other"
"39","NELFB",0.00055435,0.618296,-2.0231,-2.07,355,0.944,NA,"other"
"40","COA3",0.00057122,0.618296,0.33126,-0.59,4824,0.99,NA,"other"
"41","DOCK4",0.00060484,0.583489,-0.25762,-1.56,1006,0.99,NA,"other"
"42","TMEM211",0.00063702,0.583489,-2.184,-2.43,148,0.846,NA,"other"
"43","CHCHD4",0.00064155,0.583489,-0.46509,-1.06,2442,0.99,NA,"other"
"44","EGFLAM",0.0006416,0.688201,-2.3242,-2.65,85,0.816,NA,"other"
"45","PARD6G",0.00064659,0.645373,-1.9022,-2.81,58,0.743,NA,"other"
"46","SORL1",0.00072709,0.673007,-1.6902,-1.95,456,0.979,NA,"other"
"47","SRPX",0.0007315,0.724861,-1.1067,-0.56,4996,0.99,NA,"other"
"48","MTPAP",0.00073539,0.673007,-0.54364,-0.97,2838,0.99,"Essential","Essential"
"49","MAPK4",0.00075012,0.729094,-2.1976,-2.56,107,0.846,NA,"other"
"50","TMEM38A",0.00075057,0.583489,-0.41916,-0.8,3663,0.99,NA,"other"
"51","COPB1",0.00078402,0.618296,-0.42482,-1.47,1224,0.99,NA,"other"
"52","NAALADL1",0.00082407,0.689219,-5.3221,-3.16,24,0.561,NA,"other"
"53","C17orf67",0.00082566,0.618296,-0.74143,-1.65,834,0.99,NA,"other"
"54","DNAJA2",0.00083995,0.689219,-0.36653,-0.38,6120,0.99,NA,"other"
"55","SLC35B1",0.00084986,0.689219,-1.8413,-2.17,277,0.931,NA,"other"
"56","TRRAP",0.00085112,0.75835,-0.62944,-1.44,1296,0.99,NA,"other"
"57","CDK9",0.00086534,0.75835,-2.9274,-3.09,29,0.585,NA,"other"
"58","SBDS",0.00094068,0.759056,0.3127,0.16,9913,0.99,NA,"other"
"59","SYNDIG1L",0.00096863,0.759056,-1.9279,-2.75,66,0.774,NA,"other"
"60","MYO15A",0.0010355,0.75835,-0.7197,-1.69,762,0.99,NA,"other"
"61","MRPL2",0.001062,0.667196,-0.684,-1.54,1074,0.99,NA,"other"
"62","CLDN16",0.0010972,0.75835,-1.2906,-2.2,263,0.923,NA,"other"
"63","WDR26",0.0010975,0.673007,-2.5903,-2.51,119,0.846,NA,"other"
"64","ARHGAP39",0.0011086,0.75835,-0.45243,0.38,11404,0.99,NA,"other"
"65","SCAMP4",0.0011314,0.583489,-1.053,-2.25,236,0.906,NA,"other"
"66","RFC2",0.0011423,0.673007,-1.2038,-0.98,2785,0.99,"Essential","Essential"
"67","TMC8",0.0011521,0.759056,-1.3583,-1.78,638,0.99,NA,"other"
"68","RCC1",0.0011614,0.759056,-2.6896,-2.84,50,0.743,"Essential","Essential"
"69","TBC1D31",0.0011778,0.759056,-1.8124,-1.99,416,0.975,NA,"other"
"70","ATP5A1",0.0012141,0.759056,-2.436,-3.58,8,0.347,NA,"other"
"71","LRP11",0.0012146,0.688201,-1.6139,-2.29,213,0.892,NA,"other"
"72","SEMA5A",0.0012217,0.804549,-1.5287,-1.66,813,0.99,NA,"other"
"73","CENPF",0.0012241,0.759056,-5.5916,-2.97,42,0.629,NA,"other"
"74","NUP188",0.0012319,0.688201,-1.8788,-1.61,905,0.99,NA,"other"
"75","OR4X1",0.0012411,0.804549,-1.3157,-2.17,281,0.931,NA,"other"
"76","TMEM151A",0.001243,0.760766,-0.42501,-0.01,8663,0.99,NA,"other"
"77","GPR114",0.0012989,0.804549,-0.93171,-2.25,237,0.906,NA,"other"
"78","ANKHD1-EIF4EBP3",0.0013101,0.778975,-0.68466,-1.12,2256,0.99,NA,"other"
"79","ZNF700",0.0013463,0.804549,-2.1331,-2.58,100,0.845,NA,"other"
"80","MOGAT2",0.0013773,0.801136,-1.3372,-0.58,4910,0.99,NA,"other"
"81","UFSP2",0.0013884,0.805546,-0.94243,0.07,9272,0.99,NA,"other"
"82","KLHL2",0.0013978,0.801136,-1.4694,-2.52,117,0.846,NA,"other"
"83","TOE1",0.0014054,0.801136,-1.2828,-2,414,0.975,NA,"other"
"84","VCL",0.0014411,0.804549,-1.4482,-1.8,619,0.99,NA,"other"
"85","FBXO3",0.0014801,0.805546,-1.0066,-2.54,113,0.846,NA,"other"
"86","PDXK",0.0015116,0.804549,-2.2578,-2.39,174,0.858,NA,"other"
"87","DTX2",0.0015123,0.618296,-0.73247,-1.66,820,0.99,"Nonessential","Nonessential"
"88","STK33",0.0015453,0.75835,-0.5235,-1.55,1031,0.99,NA,"other"
"89","DARS2",0.0015787,0.804549,-3.3384,-2.86,47,0.743,"Essential","Essential"
"90","NAGPA",0.0015901,0.75835,-0.07166,-0.39,6076,0.99,NA,"other"
"91","PDE12",0.0016039,0.75835,-0.91636,-1.32,1621,0.99,NA,"other"
"92","FOXD2",0.0016349,0.75835,-2.9574,-1.9,503,0.99,NA,"other"
"93","RPL18A",0.0016797,0.75835,-0.70738,-2.01,404,0.975,NA,"other"
"94","TMED5",0.0016916,0.618296,-0.89289,-1.89,520,0.99,NA,"other"
"95","MYO16",0.0017276,0.805546,-3.1408,-3.16,23,0.561,NA,"other"
"96","C9orf116",0.0017697,0.860129,-1.7491,-2.23,250,0.907,NA,"other"
"97","CRELD2",0.0017801,0.805546,-3.4934,-2.4,165,0.846,NA,"other"
"98","CYCS",0.0018036,0.632148,-0.55701,-1.25,1843,0.99,NA,"other"
"99","FMR1NB",0.0018056,0.861799,-3.3862,-2.44,144,0.846,NA,"other"
"100","TIMP4",0.0018095,0.861799,-1.5985,-2.74,69,0.774,NA,"other"
"101","OOEP",0.0018624,0.805546,-1.594,-2.58,103,0.845,NA,"other"
"102","CSNK1G1",0.0018855,0.805546,-1.1164,-1.56,1013,0.99,NA,"other"
"103","TSSK4",0.0019078,0.776226,-2.6445,-2.4,168,0.846,NA,"other"
"104","PTGDS",0.0019156,0.645373,-0.75362,-1.65,827,0.99,NA,"other"
"105","DNAJC28",0.0019295,0.81367,-2.9986,-2.6,99,0.839,NA,"other"
"106","OR5M9",0.0019815,0.819875,-0.45164,-0.86,3368,0.99,NA,"other"
"107","CLEC3A",0.0020478,0.831643,-1.1744,-1.79,632,0.99,NA,"other"
"108","UPRT",0.0021034,0.846095,-1.1579,-1.59,943,0.99,NA,"other"
"109","COL9A1",0.0021273,0.804549,-0.58654,-0.84,3478,0.99,NA,"other"
"110","MPP3",0.0021854,0.804549,-1.5414,-2.09,335,0.944,NA,"other"
"111","CPSF3L",0.0022218,0.860129,-2.4911,-2.83,53,0.743,NA,"other"
"112","SLC44A2",0.0022419,0.860129,-2.2715,-2.8,60,0.75,NA,"other"
"113","NDUFB10",0.0022488,0.860129,-1.7916,-2.99,38,0.627,NA,"other"
"114","COQ3",0.0023511,0.804549,-1.6359,-2.37,179,0.869,NA,"other"
"115","CCDC25",0.0023572,0.867096,-2.8137,-2.49,124,0.846,NA,"other"
"116","INTS12",0.0023745,0.867096,-4.6157,-3,36,0.627,NA,"other"
"117","PGAM2",0.0023959,0.804549,-0.54737,-1.51,1140,0.99,NA,"other"
"118","ROS1",0.0023985,0.888096,-0.7217,-2.24,244,0.907,NA,"other"
"119","KCNQ5",0.0024389,0.888096,-1.002,-1.04,2526,0.99,NA,"other"
"120","GLB1L",0.002444,0.804549,-4.0471,-3.16,25,0.561,NA,"other"
"121","AGRP",0.0024444,0.888096,-1.0149,-0.6,4791,0.99,NA,"other"
"122","RRP1",0.0024596,0.867096,-2.0279,-4.12,2,0.126,"Essential","Essential"
"123","C9orf37",0.002471,0.867096,-1.4985,-1.81,606,0.99,NA,"other"
"124","TOMM20",0.0024854,0.804549,-0.16924,-0.97,2853,0.99,NA,"other"
"125","PLB1",0.0025013,0.867096,-1.0357,-1.73,709,0.99,NA,"other"
"126","FRMD6",0.0025019,0.804549,-1.6824,-1.6,930,0.99,NA,"other"
"127","UBE2D4",0.0025183,0.888096,-1.0952,-1.18,2039,0.99,NA,"other"
"128","NHSL2",0.0025309,0.867096,-4.5584,-3.28,18,0.503,NA,"other"
"129","LRRC29",0.0025319,0.867096,-1.0162,-2.3,205,0.892,NA,"other"
"130","GCLC",0.0025517,0.889623,-3.5866,-2.85,48,0.743,NA,"other"
"131","ADCY4",0.0025855,0.867096,-0.59288,-0.63,4567,0.99,NA,"other"
"132","LAMTOR3",0.0026219,0.867096,-1.6633,-2.25,233,0.906,NA,"other"
"133","CTSB",0.0026285,0.867096,-1.6563,-1.83,570,0.99,NA,"other"
"134","DPF3",0.0026644,0.805546,-1.1148,-0.89,3200,0.99,NA,"other"
"135","UMPS",0.0027197,0.877661,-0.18249,-2.11,319,0.944,"Essential","Essential"
"136","LHFP",0.0027217,0.805546,-5.5621,-3.41,13,0.438,NA,"other"
"137","NAF1",0.0027306,0.908045,-0.55487,-0.69,4249,0.99,"Essential","Essential"
"138","CDC42EP2",0.0027539,0.805546,-0.82631,-1.82,590,0.99,NA,"other"
"139","BUB1B",0.0027987,0.805546,-2.2101,-2.01,401,0.975,"Essential","Essential"
"140","WDR89",0.0028494,0.908045,-2.8448,-2.79,61,0.757,NA,"other"
"141","C16orf62",0.0028539,0.888096,-0.008758,0.18,10106,0.99,NA,"other"
"142","POP5",0.0028881,0.816378,-0.40894,-1.36,1501,0.99,NA,"other"
"143","BDP1",0.0029095,0.908045,-0.73552,-2.31,204,0.892,"Essential","Essential"
"144","RPAP2",0.0029281,0.908045,-2.6559,-2.03,385,0.961,NA,"other"
"145","ELN",0.0029784,0.888096,-0.54211,-1.14,2189,0.99,NA,"other"
"146","PDP2",0.0029815,0.908045,-2.4663,-1.92,491,0.979,NA,"other"
"147","RPS11",0.0030451,0.888096,-0.70723,-1.65,828,0.99,"Essential","Essential"
"148","TOR1A",0.0030552,0.888096,-1.8835,-2.48,131,0.846,NA,"other"
"149","RNF44",0.003088,0.888096,-2.0346,-1.63,866,0.99,NA,"other"
"150","MTL5",0.0031082,0.888096,-2.2817,-2.68,76,0.816,NA,"other"
"151","ZNF407",0.0031222,0.888096,-1.297,-1.62,891,0.99,NA,"other"
"152","MAP6",0.0031252,0.888096,-0.70528,-1.06,2467,0.99,NA,"other"
"153","NPPA",0.0031612,0.888096,-1.3013,-1.6,932,0.99,NA,"other"
"154","C1orf86",0.0031743,0.888096,-1.1267,-1.07,2414,0.99,NA,"other"
"155","NDP",0.0031903,0.888096,-1.2337,-1.98,431,0.979,NA,"other"
"156","TPGS2",0.0032023,0.913706,-2.3241,-2.45,142,0.846,NA,"other"
"157","C14orf166",0.0032634,0.913706,-2.002,-1.58,955,0.99,NA,"other"
"158","PRMT5",0.0032903,0.913706,-2.4121,-1.79,635,0.99,"Essential","Essential"
"159","OR5AP2",0.0032908,0.860129,-2.0793,-1.01,2663,0.99,NA,"other"
"160","MS4A8",0.0033853,0.913706,-1.4113,-1.19,2012,0.99,NA,"other"
"161","WDR82",0.0033937,0.897699,-5.1156,-3.72,7,0.247,"Essential","Essential"
"162","ZFX",0.0034445,0.867096,-3.0234,-2.72,72,0.799,NA,"other"
"163","GDAP1L1",0.0034566,0.913706,-0.81654,-2.08,342,0.944,NA,"other"
"164","DFNA5",0.0035289,0.913706,-1.2482,-1.38,1456,0.99,NA,"other"
"165","FAM126A",0.0035325,0.908045,-0.86478,-1.29,1707,0.99,NA,"other"
"166","COA6",0.0035353,0.913706,-1.012,-1.93,484,0.979,NA,"other"
"167","TUBGCP3",0.0035585,0.867096,-1.2786,-1.14,2176,0.99,"Essential","Essential"
"168","AFMID",0.0035694,0.913706,-3.4175,-2.66,81,0.816,NA,"other"
"169","GUCA1B",0.0036547,0.913706,-1.1874,-1.62,888,0.99,NA,"other"
"170","CYP3A7",0.003673,0.908045,-1.3166,-1.86,548,0.99,NA,"other"
"171","SRPK2",0.0036787,0.913706,-1.0581,-2,407,0.975,NA,"other"
"172","KCNQ4",0.0037006,0.908045,-1.5186,-1.94,463,0.979,NA,"other"
"173","KNTC1",0.003714,0.913706,-0.75453,-0.79,3703,0.99,NA,"other"
"174","USP39",0.0037561,0.908045,-2.4309,-2.65,86,0.816,NA,"other"
"175","SLC43A3",0.0037659,0.913706,-2.5917,-2.74,68,0.774,NA,"other"
"176","DHX8",0.0037701,0.867096,-3.1742,-2.2,264,0.923,"Essential","Essential"
"177","RHBDL1",0.0037829,0.867096,0.14806,-0.57,4956,0.99,NA,"other"
"178","JHDM1D",0.0038104,0.913706,-1.826,-1.9,504,0.99,NA,"other"
"179","EVPLL",0.0038448,0.908045,-0.9504,-2.23,246,0.907,NA,"other"
"180","FGF3",0.003851,0.913706,-0.86452,-1,2695,0.99,"Nonessential","Nonessential"
"181","RNMT",0.0038576,0.913706,-0.66716,-1.59,952,0.99,NA,"other"
"182","ARHGEF15",0.0038599,0.908045,-0.62316,-1.49,1167,0.99,NA,"other"
"183","BRD3",0.0038648,0.913706,-3.1658,-2.11,320,0.944,NA,"other"
"184","SSTR2",0.0038675,0.913706,-0.84331,-2.03,389,0.965,NA,"other"
"185","VPS54",0.0038723,0.868041,-0.43047,-0.99,2743,0.99,NA,"other"
"186","MRPL47",0.0038825,0.908499,-2.0327,-2.52,118,0.846,NA,"other"
"187","ACO1",0.0038928,0.913706,-0.96462,-1.9,500,0.99,NA,"other"
"188","SEZ6",0.0039104,0.913706,-1.0278,-1.41,1383,0.99,NA,"other"
"189","ISCA2",0.0039269,0.909877,-1.166,-1.58,965,0.99,NA,"other"
"190","WRB",0.0039303,0.913706,-0.97098,-0.92,3075,0.99,NA,"other"
"191","A4GALT",0.0039821,0.913706,-0.90163,-1.73,718,0.99,NA,"other"
"192","SMC4",0.0040084,0.913706,-3.7839,-2.5,123,0.846,NA,"other"
"193","MTMR14",0.0040109,0.913706,-0.69826,-1.05,2474,0.99,NA,"other"
"194","TRIM44",0.004061,0.913706,-1.5517,-1.82,588,0.99,NA,"other"
"195","GSN",0.0040959,0.888096,-1.2141,-1.14,2188,0.99,NA,"other"
"196","PGP",0.0041709,0.888096,-0.44896,-0.99,2758,0.99,NA,"other"
"197","ACBD4",0.0042294,0.913706,-0.25073,0.12,9631,0.99,NA,"other"
"198","CCRL2",0.0042457,0.804549,-0.35365,-0.58,4881,0.99,NA,"other"
"199","RPS23",0.0042621,0.913706,-2.1238,-1.57,993,0.99,NA,"other"
"200","TMEM121",0.0043183,0.913706,-1.3285,-1.37,1476,0.99,NA,"other"
"201","TDRP",0.0043195,0.888096,-3.077,-2.41,162,0.846,NA,"other"
"202","TCTEX1D1",0.0043447,0.913706,-3.6354,-2.3,209,0.892,NA,"other"
"203","UBE2K",0.0043523,0.913706,-4.5979,-2.68,75,0.816,NA,"other"
"204","POLR2J2",0.0043802,0.804549,-2.606,-2.97,41,0.629,NA,"other"
"205","MRRF",0.0043961,0.913706,-0.8401,-1.29,1723,0.99,NA,"other"
"206","CPNE2",0.0044376,0.913706,-0.86616,-1.48,1204,0.99,NA,"other"
"207","OLFM2",0.0044939,0.913706,-1.3372,-2.76,63,0.774,NA,"other"
"208","C18orf21",0.004543,0.888096,-0.71981,-1.31,1643,0.99,NA,"other"
"209","TAC1",0.0045859,0.888096,-1.0236,-1.58,957,0.99,NA,"other"
"210","WBSCR17",0.0046042,0.804549,-0.37938,-0.67,4385,0.99,NA,"other"
"211","TEN1",0.0046215,0.913706,-2.1994,-2.21,256,0.92,NA,"other"
"212","CENPC",0.0046324,0.888096,-0.11102,-0.25,7012,0.99,NA,"other"
"213","POU3F2",0.0046642,0.913706,-0.36905,-0.24,7090,0.99,NA,"other"
"214","PAQR8",0.0046649,0.913706,-1.6009,-1.68,789,0.99,NA,"other"
"215","OR10G7",0.0046675,0.913706,-1.1572,-2.28,223,0.896,NA,"other"
"216","SCN11A",0.00474,0.913706,-2.6478,-2.34,192,0.884,NA,"other"
"217","ACACB",0.0047872,0.913706,-0.98203,-1.99,421,0.979,NA,"other"
"218","TAF6",0.0047982,0.913706,-2.6861,-2.81,57,0.743,NA,"other"
"219","OXCT2",0.0048007,0.894563,-5.0656,-3.77,6,0.242,NA,"other"
"220","WBSCR16",0.004823,0.913706,-3.0995,-1.88,529,0.99,NA,"other"
"221","PTGER4",0.004863,0.897699,-0.69426,-1.35,1529,0.99,NA,"other"
"222","HIVEP3",0.0048682,0.913706,-1.0326,-1.14,2178,0.99,NA,"other"
"223","DDX3X",0.0048731,0.804549,-0.65306,-1.22,1933,0.99,NA,"other"
"224","MTG2",0.0048753,0.913706,-0.67604,-0.12,7877,0.99,NA,"other"
"225","ALKBH8",0.0048909,0.913706,-0.56719,-1.49,1165,0.99,NA,"other"
"226","RTCB",0.0048912,0.897699,-1.7304,-2.06,364,0.958,NA,"other"
"227","GUCA2A",0.0049105,0.913706,-1.1159,-1.31,1657,0.99,"Nonessential","Nonessential"
"228","EXOC4",0.0049132,0.897699,-1.8945,-2.04,381,0.961,NA,"other"
"229","CNR2",0.004925,0.913706,-2.0624,-2.1,328,0.944,NA,"other"
"230","SH3BP5L",0.004932,0.913706,-1.868,-1.45,1280,0.99,NA,"other"
"231","ENAH",0.0049428,0.913706,-0.83628,-1.42,1358,0.99,NA,"other"
"232","ZNF622",0.004985,0.913706,-0.39722,-1.52,1107,0.99,"Essential","Essential"
"233","PRAMEF8",0.0049992,0.913706,-1.3942,-1.47,1229,0.99,NA,"other"
"234","ADAP2",0.0050382,0.913706,-1.7722,-2.07,353,0.944,NA,"other"
"235","AQR",0.0050539,0.913706,-1.0251,-1.3,1691,0.99,"Essential","Essential"
"236","RNF6",0.0050679,0.913706,-0.65382,-1.33,1582,0.99,NA,"other"
"237","ACTL9",0.0050795,0.908045,-2.7679,-2.46,140,0.846,"Nonessential","Nonessential"
"238","PEAR1",0.0050838,0.913706,-0.82711,-1.47,1235,0.99,NA,"other"
"239","PPP6R3",0.0051226,0.913706,-1.7029,-2.13,307,0.944,NA,"other"
"240","STK32C",0.0051488,0.913706,-0.62665,-0.81,3644,0.99,NA,"other"
"241","COL4A3",0.0051643,0.805546,-0.50192,-0.95,2907,0.99,NA,"other"
"242","INTS4",0.0052135,0.908045,-0.36442,-1.06,2443,0.99,NA,"other"
"243","3-Sep",0.0052357,0.913706,-1.2032,-1.69,778,0.99,NA,"other"
"244","PODXL2",0.0052485,0.908045,-1.8258,-1.73,714,0.99,NA,"other"
"245","DDX1",0.0052582,0.908045,-1.35,-1.96,445,0.979,NA,"other"
"246","HOXB6",0.0052647,0.908045,-2.1897,-1.74,693,0.99,NA,"other"
"247","TBC1D25",0.0052988,0.805546,-0.73372,-1.27,1791,0.99,NA,"other"
"248","SHPRH",0.0053341,0.913706,-0.81353,0.04,9056,0.99,NA,"other"
"249","DEFB126",0.0053865,0.929591,-1.877,-2.43,154,0.846,"Nonessential","Nonessential"
"250","SCO2",0.0053923,0.908045,-2.4854,-2.84,49,0.743,NA,"other"
"251","WDR61",0.0054385,0.908045,-4.7841,-3.86,4,0.225,NA,"other"
"252","SLC38A11",0.005468,0.913706,-1.1187,-1.85,552,0.99,NA,"other"
"253","SLC9A3R2",0.0054817,0.908045,0.60549,-0.67,4392,0.99,NA,"other"
"254","PPP1CB",0.0055189,0.913706,-0.89411,-1.08,2393,0.99,NA,"other"
"255","ZP1",0.0055252,0.913706,-4.5183,-2.63,91,0.819,NA,"other"
"256","NEXN",0.0055336,0.913706,-0.41446,-0.83,3519,0.99,NA,"other"
"257","PEX11A",0.0055905,0.913706,-1.3028,-1.67,810,0.99,NA,"other"
"258","RNF103",0.0056019,0.913706,-1.508,-1.51,1122,0.99,NA,"other"
"259","KCNG3",0.0056453,0.908499,-3.2632,-2.64,87,0.816,NA,"other"
"260","SCN4B",0.005665,0.913706,-2.1732,-2.7,74,0.816,NA,"other"
"261","MAX",0.0056712,0.935777,-1.3712,-2.37,182,0.869,NA,"other"
"262","CDCP2",0.0057109,0.935777,-1.1167,-0.71,4117,0.99,NA,"other"
"263","BRSK2",0.0057469,0.819875,-0.88652,-1.36,1500,0.99,NA,"other"
"264","SAP18",0.0057498,0.913706,-1.5617,-1.3,1676,0.99,NA,"other"
"265","HDAC7",0.0057721,0.913706,-0.55435,-0.68,4273,0.99,NA,"other"
"266","SARNP",0.0057833,0.913706,-1.4443,-2.27,226,0.9,NA,"other"
"267","KIAA0087",0.0057892,0.935777,-1.983,-2.09,336,0.944,NA,"other"
"268","SURF4",0.005793,0.935777,-1.0068,-1.44,1310,0.99,NA,"other"
"269","WDR70",0.0058065,0.913706,-2.3635,-2.08,348,0.944,"Essential","Essential"
"270","DDX10",0.0058267,0.913706,-5.5372,-2.13,303,0.944,NA,"other"
"271","GRIP1",0.0058391,0.913706,-0.19765,-0.25,7027,0.99,NA,"other"
"272","COG1",0.0058838,0.913706,0.11474,0.96,14715,0.993,NA,"other"
"273","MET",0.0059006,0.913706,-3.8986,-2.25,231,0.906,NA,"other"
"274","PDCD1",0.0059193,0.935777,-1.2212,-1.42,1359,0.99,NA,"other"
"275","RASSF1",0.0059624,0.913706,-3.3287,-3.34,16,0.457,NA,"other"
"276","RUFY4",0.0060037,0.913706,-2.4348,-1.57,991,0.99,NA,"other"
"277","TUBA8",0.0060461,0.913706,-1.4532,-1.37,1494,0.99,NA,"other"
"278","TBRG1",0.0060571,0.935777,-3.4839,-2.21,255,0.92,NA,"other"
"279","NANOS1",0.0060604,0.913706,-2.9597,-2.29,216,0.892,NA,"other"
"280","WFDC3",0.0060895,0.913706,-2.5721,-1.8,618,0.99,NA,"other"
"281","NFE2L1",0.0061072,0.913706,0.29978,-0.24,7136,0.99,NA,"other"
"282","TMEM209",0.006157,0.913706,-2.1527,-2.05,368,0.958,NA,"other"
"283","KCNJ3",0.0061757,0.913706,-2.7022,-2.19,268,0.931,NA,"other"
"284","CENPT",0.0061792,0.913706,-0.9267,-1.35,1531,0.99,NA,"other"
"285","DSTN",0.0061827,0.913706,-3.0876,-2.03,386,0.961,NA,"other"
"286","TFB2M",0.0062045,0.913706,-1.6564,-0.71,4132,0.99,NA,"other"
"287","IL36G",0.006225,0.913706,-1.6131,-2.17,284,0.931,NA,"other"
"288","ZNF558",0.0062432,0.913706,-0.97065,-1.37,1477,0.99,NA,"other"
"289","CMTM2",0.0062878,0.913706,-1.1644,-1.61,908,0.99,NA,"other"
"290","POT1",0.0063032,0.935777,-2.211,-2.55,110,0.846,NA,"other"
"291","SCD",0.0063294,0.860129,-1.963,-2.24,241,0.907,NA,"other"
"292","ALG9",0.0063384,0.913706,-0.80904,-0.16,7646,0.99,NA,"other"
"293","STXBP1",0.0063896,0.93588,-4.0459,-2.55,109,0.846,NA,"other"
"294","MAB21L2",0.0063896,0.93588,-4.5623,-2.66,78,0.816,NA,"other"
"295","MTHFD2",0.0064053,0.913706,-0.50226,-0.67,4388,0.99,NA,"other"
"296","NAA25",0.0064187,0.93588,-1.9859,-2.34,191,0.884,"Essential","Essential"
"297","NCOA1",0.0064435,0.93588,-1.1212,-1.64,845,0.99,NA,"other"
"298","RBM22",0.006448,0.913706,-0.89292,-1.43,1337,0.99,NA,"other"
"299","THBS2",0.0064678,0.913706,-1.1102,-1.65,840,0.99,NA,"other"
"300","FXYD7",0.0064816,0.93588,0.0087326,0.01,8823,0.99,NA,"other"
"301","RCHY1",0.0065466,0.91459,-2.2983,-1.58,969,0.99,NA,"other"
"302","DNLZ",0.0066143,0.935897,-2.385,-2.32,199,0.892,NA,"other"
"303","TFF3",0.0066207,0.86656,-3.4786,-3.21,21,0.542,NA,"other"
"304","TBC1D9B",0.0067346,0.929591,-1.6416,-2.48,127,0.846,NA,"other"
"305","NAE1",0.0067399,0.929591,-1.1278,-0.92,3048,0.99,NA,"other"
"306","GPATCH8",0.0067902,0.929591,-2.2541,-2.35,189,0.873,NA,"other"
"307","DPP10",0.0067949,0.941308,-1.3321,-1.63,870,0.99,NA,"other"
"308","NFATC4",0.0068383,0.941308,-0.58058,-0.52,5274,0.99,NA,"other"
"309","MIEN1",0.0068426,0.929591,-4.6642,-2.94,43,0.663,NA,"other"
"310","RFC5",0.0068427,0.941308,-3.1736,-2.38,175,0.858,NA,"other"
"311","RFXAP",0.0068646,0.929591,-2.4309,-2.32,200,0.892,NA,"other"
"312","LAMTOR4",0.0068665,0.913706,-1.2883,-0.83,3528,0.99,NA,"other"
"313","YEATS4",0.0068693,0.929591,-1.145,-1.85,555,0.99,NA,"other"
"314","ACPT",0.0068957,0.93079,-2.2598,-2.03,384,0.961,NA,"other"
