Gene,label
ATP6V1C1,Essential_Gene
HS6ST1,Essential_Gene
TSG101,Essential_Gene
HINFP,Essential_Gene
CRKL,Essential_Gene
NUP43,Essential_Gene
PSMG4,Essential_Gene
NDUFB10,Essential_Gene
ATP5F1C,Essential_Gene
FARSA,Essential_Gene
MASTL,Essential_Gene
NACA,Essential_Gene
NUP88,Essential_Gene
MRPS35,Essential_Gene
HNRNPH1,Essential_Gene
SLC7A6OS,Essential_Gene
CNIH4,Essential_Gene
HNRNPL,Essential_Gene
ORC3,Essential_Gene
NUFIP1,Essential_Gene
POLR3C,Essential_Gene
ZNRD2,Essential_Gene
EFTUD1,Essential_Gene
NMD3,Essential_Gene
RPL37A,Essential_Gene
SPATA5,Essential_Gene
LSM12,Essential_Gene
TAF12,Essential_Gene
DAD1,Essential_Gene
INO80B,Essential_Gene
CINP,Essential_Gene
EIF4B,Essential_Gene
KANSL2,Essential_Gene
TMEM199,Essential_Gene
ZNF407,Essential_Gene
SRSF2,Essential_Gene
MAK16,Essential_Gene
NOP58,Essential_Gene
NCAPH,Essential_Gene
GTF3C1,Essential_Gene
FAM96B,Essential_Gene
HIST1H2BN,Essential_Gene
NAIP,Essential_Gene
RPL24,Essential_Gene
CNOT3,Essential_Gene
WDR25,Essential_Gene
MCL1,Essential_Gene
RPS27A,Essential_Gene
USP5,Essential_Gene
UTP15,Essential_Gene
GOT2,Essential_Gene
E2F6,Essential_Gene
HYOU1,Essential_Gene
ERCC2,Essential_Gene
ANAPC11,Essential_Gene
RANBP1,Essential_Gene
NGDN,Essential_Gene
MED7,Essential_Gene
RPL36,Essential_Gene
RFC1,Essential_Gene
ORC6,Essential_Gene
SARNP,Essential_Gene
SNW1,Essential_Gene
H2AFX,Essential_Gene
SMC5,Essential_Gene
SSBP3,Essential_Gene
EIF2B1,Essential_Gene
WBSCR16,Essential_Gene
PPP2R1A,Essential_Gene
NUBP1,Essential_Gene
BUB3,Essential_Gene
CDCA8,Essential_Gene
H2AC15,Essential_Gene
H2AC11,Essential_Gene
ARGFX,Essential_Gene
ACTR2,Essential_Gene
RPL12,Essential_Gene
BRI3,Essential_Gene
CLSPN,Essential_Gene
SS18L2,Essential_Gene
WDR74,Essential_Gene
RNF113A,Essential_Gene
GEMIN8,Essential_Gene
PPA1,Essential_Gene
ESPL1,Essential_Gene
POLR3F,Essential_Gene
TEN1,Essential_Gene
UTP11,Essential_Gene
GTF3C4,Essential_Gene
GABPB1,Essential_Gene
CCT4,Essential_Gene
TUBGCP4,Essential_Gene
GTF3C3,Essential_Gene
RBM22,Essential_Gene
UTP18,Essential_Gene
DNAJC8,Essential_Gene
MED31,Essential_Gene
VARS2,Essential_Gene
SLC25A5,Essential_Gene
TPR,Essential_Gene
ESS2,Essential_Gene
HIST1H3G,Essential_Gene
PRPF19,Essential_Gene
ZNF830,Essential_Gene
SARS1,Essential_Gene
ATP5PF,Essential_Gene
IMP3,Essential_Gene
MYC,Essential_Gene
PSMB1,Essential_Gene
RBM14,Essential_Gene
AARS,Essential_Gene
SYMPK,Essential_Gene
COPS8,Essential_Gene
TRA2B,Essential_Gene
PSMD1,Essential_Gene
HTATSF1,Essential_Gene
PMPCA,Essential_Gene
PDPK1,Essential_Gene
BPTF,Essential_Gene
ANKLE2,Essential_Gene
PFDN6,Essential_Gene
SRFBP1,Essential_Gene
PPCS,Essential_Gene
RPL36AL,Essential_Gene
XPOT,Essential_Gene
LRPPRC,Essential_Gene
AQR,Essential_Gene
EFL1,Essential_Gene
INCENP,Essential_Gene
NPEPPS,Essential_Gene
RPF2,Essential_Gene
TAF1D,Essential_Gene
HRK,Essential_Gene
HIST1H2AD,Essential_Gene
POLR2D,Essential_Gene
ATP6V1A,Essential_Gene
TCEB2,Essential_Gene
PSMB2,Essential_Gene
MRPS34,Essential_Gene
CEP131,Essential_Gene
PCID2,Essential_Gene
DDB1,Essential_Gene
RPS2,Essential_Gene
UBR4,Essential_Gene
RPL27A,Essential_Gene
MVK,Essential_Gene
GTF3C5,Essential_Gene
TEX10,Essential_Gene
SLMO2,Essential_Gene
H2AC8,Essential_Gene
RPL5,Essential_Gene
FNBP4,Essential_Gene
SPCS2,Essential_Gene
GEMIN7,Essential_Gene
NOL8,Essential_Gene
SCYL1,Essential_Gene
FXN,Essential_Gene
YBX1,Essential_Gene
HIST1H3I,Essential_Gene
CLASRP,Essential_Gene
KRTAP21-1,Essential_Gene
SNAPC3,Essential_Gene
TRAPPC8,Essential_Gene
KIF20A,Essential_Gene
NDUFAF8,Essential_Gene
MRPL45,Essential_Gene
YRDC,Essential_Gene
CDC45,Essential_Gene
HIST1H2AB,Essential_Gene
RPS15A,Essential_Gene
SHQ1,Essential_Gene
PSMD4,Essential_Gene
ISCA2,Essential_Gene
LCE5A,Essential_Gene
PUF60,Essential_Gene
COG8,Essential_Gene
NME2,Essential_Gene
C17orf49,Essential_Gene
SRSF11,Essential_Gene
EP400,Essential_Gene
TCP1,Essential_Gene
TOR2A,Essential_Gene
ABCE1,Essential_Gene
SKIV2L2,Essential_Gene
SNIP1,Essential_Gene
GBF1,Essential_Gene
HDAC3,Essential_Gene
CHORDC1,Essential_Gene
ANAPC10,Essential_Gene
NEDD1,Essential_Gene
BUD13,Essential_Gene
BCLAF1,Essential_Gene
SDAD1,Essential_Gene
PSMB7,Essential_Gene
RNF4,Essential_Gene
SNRPD3,Essential_Gene
LLPH,Essential_Gene
PCBP1,Essential_Gene
U2AF2,Essential_Gene
EIF3G,Essential_Gene
HIST1H2BM,Essential_Gene
ABHD17A,Essential_Gene
ACTL6A,Essential_Gene
HCFC1R1,Essential_Gene
EIF2B2,Essential_Gene
CDC26,Essential_Gene
NCAPD2,Essential_Gene
MRPL14,Essential_Gene
SNRPF,Essential_Gene
GON4L,Essential_Gene
FDX1L,Essential_Gene
HAUS2,Essential_Gene
PPAT,Essential_Gene
RBBP4,Essential_Gene
ELP6,Essential_Gene
WDR7,Essential_Gene
DHX15,Essential_Gene
PPP2CA,Essential_Gene
WDR92,Essential_Gene
MED6,Essential_Gene
NXF1,Essential_Gene
CDC6,Essential_Gene
WDR55,Essential_Gene
H3C8,Essential_Gene
MEPCE,Essential_Gene
NLE1,Essential_Gene
SSB,Essential_Gene
ARMC7,Essential_Gene
CTU2,Essential_Gene
RPN1,Essential_Gene
SRF,Essential_Gene
CTDNEP1,Essential_Gene
ARFRP1,Essential_Gene
SRP72,Essential_Gene
NRDE2,Essential_Gene
HSP90B1,Essential_Gene
H2AFJ,Essential_Gene
ATP6AP2,Essential_Gene
GFM1,Essential_Gene
KANSL1,Essential_Gene
WDHD1,Essential_Gene
DDX59,Essential_Gene
TRAPPC4,Essential_Gene
VPS33A,Essential_Gene
SUPT4H1,Essential_Gene
COPA,Essential_Gene
RBBP5,Essential_Gene
CFAP20,Essential_Gene
SMIM7,Essential_Gene
SYVN1,Essential_Gene
SURF6,Essential_Gene
NUP54,Essential_Gene
CENPE,Essential_Gene
LIN9,Essential_Gene
SMC3,Essential_Gene
SSX5,Essential_Gene
IGSF3,Essential_Gene
EIF6,Essential_Gene
RPS10,Essential_Gene
NDC1,Essential_Gene
ST13,Essential_Gene
MCM6,Essential_Gene
FBLIM1,Essential_Gene
C12orf45,Essential_Gene
DEFB129,Essential_Gene
RABGGTA,Essential_Gene
DDX56,Essential_Gene
YAE1,Essential_Gene
WEE1,Essential_Gene
ACTR6,Essential_Gene
POTEI,Essential_Gene
SRRM1,Essential_Gene
DDOST,Essential_Gene
CIAO2B,Essential_Gene
ATP5MC2,Essential_Gene
EIF5AL1,Essential_Gene
GPN1,Essential_Gene
NRF1,Essential_Gene
XRCC5,Essential_Gene
SART3,Essential_Gene
GTF2H4,Essential_Gene
EFTUD2,Essential_Gene
PHF5A,Essential_Gene
RRP9,Essential_Gene
PRAMEF18,Essential_Gene
GTF2A2,Essential_Gene
PSMD2,Essential_Gene
KTI12,Essential_Gene
CDC20,Essential_Gene
NAA35,Essential_Gene
COQ2,Essential_Gene
WBP1,Essential_Gene
PFN1,Essential_Gene
TRPM7,Essential_Gene
LIMS1,Essential_Gene
MVD,Essential_Gene
H2AC12,Essential_Gene
PSMG3,Essential_Gene
THOC7,Essential_Gene
YY1,Essential_Gene
MIS12,Essential_Gene
VPS37A,Essential_Gene
GTF2E2,Essential_Gene
PRPF38A,Essential_Gene
CAPZB,Essential_Gene
NAA15,Essential_Gene
SNAP23,Essential_Gene
MOB4,Essential_Gene
RPL18,Essential_Gene
LSM10,Essential_Gene
GJA3,Essential_Gene
TRNT1,Essential_Gene
HAUS5,Essential_Gene
NUTF2,Essential_Gene
MRPL19,Essential_Gene
DCTN2,Essential_Gene
MRPL10,Essential_Gene
GNL3,Essential_Gene
NDUFB9,Essential_Gene
NFYB,Essential_Gene
CMC1,Essential_Gene
MRPS18A,Essential_Gene
MCM2,Essential_Gene
POLR3B,Essential_Gene
IK,Essential_Gene
NAT10,Essential_Gene
NIFK,Essential_Gene
SOWAHC,Essential_Gene
KCMF1,Essential_Gene
CENPN,Essential_Gene
AAMP,Essential_Gene
DCTN3,Essential_Gene
IARS2,Essential_Gene
PGAM1,Essential_Gene
UBA2,Essential_Gene
ISCU,Essential_Gene
CDC42SE1,Essential_Gene
OTOP1,Essential_Gene
ELP2,Essential_Gene
ZNF273,Essential_Gene
MTREX,Essential_Gene
XAB2,Essential_Gene
DNAJC17,Essential_Gene
SOD2,Essential_Gene
TTI1,Essential_Gene
FAR2,Essential_Gene
MAGOH,Essential_Gene
ATP5G1,Essential_Gene
ROMO1,Essential_Gene
EXOC4,Essential_Gene
COPE,Essential_Gene
MRPL58,Essential_Gene
NOP56,Essential_Gene
GINS2,Essential_Gene
COASY,Essential_Gene
NOP10,Essential_Gene
SMNDC1,Essential_Gene
CCDC137,Essential_Gene
ATP6V1E1,Essential_Gene
NOP16,Essential_Gene
ECD,Essential_Gene
GAPDH,Essential_Gene
DDX52,Essential_Gene
PAM16,Essential_Gene
UPF1,Essential_Gene
TBCE,Essential_Gene
MRPS12,Essential_Gene
POLR1A,Essential_Gene
NDUFS8,Essential_Gene
DHDDS,Essential_Gene
SNRPA1,Essential_Gene
RPS25,Essential_Gene
CRNKL1,Essential_Gene
RPS8,Essential_Gene
TADA2A,Essential_Gene
ZCCHC9,Essential_Gene
AKTIP,Essential_Gene
GSPT1,Essential_Gene
TAF1B,Essential_Gene
URB2,Essential_Gene
LCE3A,Essential_Gene
FDPS,Essential_Gene
AMD1,Essential_Gene
PTTG1,Essential_Gene
GNB1L,Essential_Gene
PRPF39,Essential_Gene
STX18,Essential_Gene
TAMM41,Essential_Gene
NFS1,Essential_Gene
ACTR10,Essential_Gene
YWHAE,Essential_Gene
CNOT1,Essential_Gene
ZBTB17,Essential_Gene
TP53RK,Essential_Gene
IPO9,Essential_Gene
UFD1L,Essential_Gene
RAD1,Essential_Gene
GGPS1,Essential_Gene
WDR36,Essential_Gene
WDR43,Essential_Gene
COX5B,Essential_Gene
POLR1D,Essential_Gene
CCDC12,Essential_Gene
SNAPIN,Essential_Gene
SARS,Essential_Gene
CLP1,Essential_Gene
AFG3L2,Essential_Gene
WNK1,Essential_Gene
CHMP5,Essential_Gene
SNRNP48,Essential_Gene
H2BC15,Essential_Gene
CCT2,Essential_Gene
FDX2,Essential_Gene
MED1,Essential_Gene
ARF4,Essential_Gene
KRTAP5-11,Essential_Gene
NUP85,Essential_Gene
THAP1,Essential_Gene
HIST1H2BK,Essential_Gene
SIGLEC11,Essential_Gene
RSPH9,Essential_Gene
MAT2A,Essential_Gene
PTMA,Essential_Gene
LSM5,Essential_Gene
TARDBP,Essential_Gene
ABCB7,Essential_Gene
LSM8,Essential_Gene
CCDC23,Essential_Gene
SNRNP200,Essential_Gene
H2AC17,Essential_Gene
