sgRNA	Gene	HT29-Reference	HT29-Baseline	HT29-D1	HT29-D2	HT29-80-1	HT29-80-2
sg_126859_3	AXDND1	4923	4544	4517	4204	3135	3175
sg_3985_3	LIMK2	1063	1211	1633	926	529	477
sg_1294_1	COL7A1	1622	1783	1185	1432	1025	1009
sg_50805_1	IRX4	1444	1160	1333	1402	3175	1697
sg_54480_2	CHPF2	5062	4468	4719	4014	3810	3987
sg_5986_3	RFNG	4059	2840	2481	1399	1133	1488
sg_10769_1	PLK2	2651	2726	3312	2367	834	1080
sg_101928436_2	LOC101928436	1312	1018	966	1045	927	498
sg_8749_1	ADAM18	2023	1788	2986	1965	3938	4751
sg_1524_3	CX3CR1	4462	4970	3970	3889	3917	2837
sg_56000_4	NXF3	4468	3928	4445	3483	2448	2062
sg_283820_1	NOMO2	1662	1058	953	876	908	140
sg_64397_2	ZNF106	669	539	374	604	355	126
sg_8357_4	HIST1H3H	1803	934	777	441	792	258
sg_672_3	BRCA1	2857	2124	801	913	530	413
sg_2220_3	FCN2	3535	3450	3909	3475	2233	2155
sg_1962_4	EHHADH	1669	1351	1306	1356	3169	1899
sg_114960_4	TSGA13	2345	1930	1891	1139	3846	3218
sg_10594_1	PRPF8	2298	87	68	98	6	3
sg_132949_1	AASDH	5193	3711	3633	2159	1581	2230
sg_340900_4	EBLN1	1700	1634	2162	1110	780	1134
sg_7351_3	UCP2	4640	3740	3902	2562	2856	1816
sg_58500_1	ZNF250	2142	1557	1657	1071	876	408
sg_53336_3	CPXCR1	1559	1430	1498	798	519	655
sg_284383_2	OR2Z1	3956	4055	3987	3213	2846	3192
sg_9152_2	SLC6A5	760	908	550	611	337	454
sg_10344_2	CCL26	7217	6090	5675	4950	6451	6608
sg_NTC_570	Non_Targeting_Control_570	4664	3864	5174	3292	2645	2084
sg_56900_1	TMEM167B	7722	6643	6493	5412	4303	4232
sg_285331_1	CCDC66	3021	2146	2965	1664	2957	1506
sg_3956_2	LGALS1	2613	2495	2109	2334	1175	1486
sg_9718_4	ECE2	4000	3002	4305	3292	2848	2300
sg_23416_3	KCNH3	3429	3236	2676	2707	2789	1710
sg_6252_4	RTN1	1405	937	1375	954	1004	541
sg_85369_2	STRIP1	2488	1751	1585	794	734	527
sg_5636_2	PRPSAP2	2197	1797	1701	1615	1790	1215
sg_257415_4	FAM133B	2515	1925	1764	1946	3020	2471
sg_1662_4	DDX10	1091	486	119	41	283	132
sg_10068_1	IL18BP	3769	2808	3232	2311	1165	1167
sg_4923_2	NTSR1	3956	3468	3290	2793	5243	4242
sg_441933_1	OR13G1	2891	2288	2854	2028	3925	2996
sg_283297_4	OR10A4	1338	1161	1140	754	685	519
sg_NTC_360	Non_Targeting_Control_360	6238	5808	6801	4976	4144	4633
sg_6010_2	RHO	2119	1966	2230	1684	2282	1527
sg_3433_4	IFIT2	3718	3521	4249	2964	2334	2772
sg_139596_1	UPRT	1751	1247	1284	1454	1008	1525
sg_9518_1	GDF15	4623	3842	4138	3011	3679	2061
sg_26022_1	TMEM98	1455	1320	716	945	994	1073
sg_8214_2	DGCR6	1664	1220	951	831	929	1453
sg_284293_4	HMSD	1344	1387	2007	1035	1396	890
sg_339210_4	C17orf67	1758	1234	1413	1206	1241	2269
sg_6294_4	SAFB	2753	2198	922	1247	1022	646
sg_5094_4	PCBP2	2959	1825	574	371	1311	146
sg_440093_3	H3F3C	1622	1134	1199	813	596	562
sg_84172_2	POLR1B	3184	2637	863	1110	624	349
sg_57650_4	KIAA1524	3216	3221	2724	2527	1908	2054
sg_6367_3	CCL22	2133	1652	1520	1020	1078	1368
sg_284390_3	ZNF763	2880	2563	2926	2387	1363	1076
sg_5166_3	PDK4	3167	3156	3092	3002	2552	2433
sg_390036_3	OR52K1	1591	1597	1582	1349	955	1258
sg_10413_3	YAP1	2345	1628	557	530	303	340
sg_219537_3	SMTNL1	1549	1186	1721	1261	1982	4267
sg_80254_4	CEP63	3270	2663	3157	2890	3603	1753
sg_55527_2	FEM1A	1149	1231	1506	1062	1308	991
sg_80863_1	PRRT1	2077	1601	1603	1362	1431	1357
sg_242_1	ALOX12B	3518	3203	4228	2912	2359	2504
sg_25959_4	KANK2	2338	1934	1872	1164	1760	1693
sg_339287_3	MSL1	2812	3319	2930	2061	1609	1287
sg_55040_1	EPN3	5684	5571	5444	4525	4761	5941
sg_283377_1	SPRYD4	2415	2248	1718	1934	2621	1803
sg_5688_2	PSMA7	2161	1644	628	498	689	524
sg_254827_2	NAALADL2	3212	2337	2474	1931	1506	1275
sg_56951_3	C5orf15	2318	1604	1758	1329	609	754
sg_1268_1	CNR1	1627	1154	1065	723	731	602
sg_345930_4	ECT2L	2027	1873	2287	2452	1045	967
sg_345757_1	FAM174A	1839	1633	2020	1262	1864	1227
sg_10452_3	TOMM40	2139	1486	406	191	711	518
sg_5859_1	QARS	2546	1700	910	786	1327	628
sg_941_3	CD80	3252	2817	2747	2405	1444	1382
sg_3346_1	HTN1	3367	3615	4234	3218	1367	1650
sg_81889_4	FAHD1	3307	2384	2115	2227	666	773
sg_NTC_516	Non_Targeting_Control_516	5500	4780	5712	3975	5150	5840
sg_22835_2	ZFP30	2839	2520	1914	2113	1792	1349
sg_151647_4	FAM19A4	955	929	970	654	815	669
sg_6518_3	SLC2A5	1387	1216	1388	1390	810	531
sg_10694_4	CCT8	4174	1899	647	403	378	549
sg_7439_1	BEST1	2906	2480	2515	1720	2205	2764
sg_389762_1	SPATA31D3	1798	1899	1871	1582	1219	1307
sg_51099_3	ABHD5	573	722	715	461	1576	999
sg_6757_4	SSX2	3406	2137	2531	1738	1454	1227
sg_10322_2	SMYD5	1802	1771	1153	990	997	859
sg_1145_1	CHRNE	3521	3123	3140	2639	2846	1421
sg_143888_2	KDELC2	5450	5213	6158	4412	4171	3742
sg_10110_2	SGK2	4836	4759	4923	2946	4521	5557
sg_81575_2	APOLD1	3965	3012	3777	2891	1705	1881
sg_2051_2	EPHB6	2831	2339	2357	2127	2036	1283
sg_8572_2	PDLIM4	2886	2477	1589	1372	985	779
sg_255119_3	C4orf22	3127	2920	3541	2039	6120	4423
sg_374864_1	CCDC178	2535	1915	2314	1559	2527	2928
sg_51150_2	SDF4	2519	2255	2105	1225	734	1036
sg_201516_1	ZSCAN4	3997	3254	3523	2764	3698	3186
sg_115811_4	IQCD	2590	2149	2104	2262	1774	2961
sg_3579_1	CXCR2	1761	1221	960	896	368	458
sg_10395_3	DLC1	1506	1659	1261	933	547	391
sg_55320_4	MIS18BP1	1255	484	358	346	52	83
