sgrna,DLD1
sg_84418_2,0.03784568356864543
sg_81671_1,0.04126631672668872
sg_60685_1,-0.03735982788418522
sg_23081_2,0.03682059978520366
sg_2175_3,0.053956157961030746
sg_2323_1,-0.10954124945148147
sg_54480_2,-0.004057656118775184
sg_359787_1,-0.10119914937794204
sg_729627_1,0.0430804429181598
sg_221409_2,-0.007201167030765721
sg_1749_3,0.1904904143571067
sg_55165_2,0.04870772586303322
sg_8605_2,-0.07820326556174594
sg_54206_4,-0.060292849615991795
sg_55687_2,-0.25176029430237745
sg_10293_2,-0.23025533484315783
sg_3175_1,-0.1119097805824453
sg_1002_4,-0.10265914886686191
sg_285955_2,-0.32191430646199326
sg_728343_3,0.07195014412885525
sg_84905_3,-0.18116984181419427
sg_120863_4,0.00273556158800509
sg_64771_1,0.3036286165881216
sg_7678_3,0.14453871207491836
sg_60526_3,0.04278554611496667
sg_462_1,0.06469296991076917
sg_100129520_4,-0.0723029866806638
sg_9638_4,0.0773416847120234
sg_51659_1,-0.47785979593290584
sg_79956_4,0.04583737701088811
sg_1472_4,-0.08342098089132734
sg_83849_2,0.11861357383401519
sg_599_1,-0.051740625677871604
sg_84193_2,0.12340382127286634
sg_440400_2,0.021958190121562984
sg_9847_3,-0.22890882061927056
sg_1317_4,-0.2038777496373109
sg_100130827_3,-0.09128285164862178
sg_55676_2,0.0327509801372421
sg_3098_1,0.05683150982402106
sg_255877_4,0.051404444214616
sg_92291_2,-0.10086774220346068
sg_51276_2,0.012948350577293018
sg_6865_2,0.09160426275613932
sg_25776_2,0.254698190983819
sg_4931_1,0.44132600820555185
sg_29_3,-0.15975219539678492
sg_54539_2,-0.2614368334360736
sg_83443_1,-1.0002590484124336
sg_2890_1,0.12908913195545949
sg_58494_2,0.08564461161619757
sg_4253_4,0.03228390125702017
sg_54742_2,0.0002936758314691229
sg_1232_3,-0.23391330382908979
sg_NTC_366,0.016000729709220698
sg_1528_1,0.032653654084702666
sg_285126_1,0.05613777205924163
sg_353116_3,0.0073281505854277534
sg_79165_2,-0.12012550320772894
sg_93436_1,-0.1171623783950547
sg_4234_3,0.0820711431984125
sg_79034_1,0.053101723764201525
sg_284131_2,0.0023332464688839635
sg_1147_3,-0.08688529291108235
sg_54084_2,0.06546129267008984
sg_55876_3,0.14696146671272878
sg_157657_2,-0.13129299560135238
sg_54460_3,-0.5087469921026652
sg_11054_3,-0.00828851880815126
sg_29947_3,-0.01071581679688485
sg_722_3,0.04260159456341407
sg_85376_4,-0.2799539613420741
sg_200879_3,-0.20194738008779753
sg_91283_3,0.042543258323828305
sg_100127206_2,0.37743098444886647
sg_4233_3,0.1754699814761421
sg_200942_4,-0.036038806011189556
sg_968_1,-0.11622054160508383
sg_6573_4,0.01092914205921298
sg_11341_1,0.08646950999271925
sg_55745_3,0.015377608628787513
sg_7494_1,-0.06587548956482307
sg_11165_3,0.15971153573017993
sg_4053_2,0.025889800482352593
sg_51299_2,0.08253830202138734
sg_9468_1,-0.05165659365964066
sg_152065_2,-0.08301226857032837
sg_84695_4,0.03814268426446221
sg_6945_2,0.1515676489190706
sg_23414_1,-0.10365179550606786
sg_729020_1,-0.6928669758243783
sg_84446_2,0.027499993353545152
sg_162515_3,-0.023493663086623467
sg_114881_4,0.3713327929769343
sg_388697_2,0.15975085643658082
sg_54925_2,-0.13668300511759207
sg_10936_2,-0.1307467559380593
sg_729085_4,0.00555143626055098
sg_6274_2,0.009902234634024306
sg_7175_2,-0.10950527320688797
