sgrna,efficacy
sg_10000_1,0.9575620458369082
sg_10000_2,0.7288030049561498
sg_10000_3,0.9868010314104001
sg_10000_4,0.9522950065557548
sg_10001_1,0.9924999343928506
sg_10001_2,0.998121950664889
sg_10001_3,0.9773084891479151
sg_10001_4,0.6803798992709217
sg_10002_1,0.9725252533064367
sg_10002_2,0.20910966201970926
sg_10002_3,0.7586222166788316
sg_10002_4,0.7293971823172138
sg_100037417_1,0.4860201720209937
sg_100037417_2,0.372804834336831
sg_100037417_3,0.9901528604269736
sg_100037417_4,0.9234443025338548
sg_10003_1,0.9837629963250922
sg_10003_2,0.9078473973755264
sg_10003_3,0.16894077074147656
sg_10003_4,0.9904278358291578
sg_100049587_1,0.7675988199330086
sg_100049587_2,0.992433334897765
sg_100049587_3,0.07485560949682794
sg_100049587_4,0.9290055815282607
sg_10004_1,0.8028399729009065
sg_10004_2,0.9844139944933122
sg_10004_3,0.9846543981092143
sg_10004_4,0.9827621286429097
sg_10005_1,0.9925799351513769
sg_10005_2,0.4780243744054418
sg_10005_3,0.9988737776945421
sg_10005_4,0.9943615188381142
sg_10006_1,0.5954297293582953
sg_10006_2,0.9953222493908856
sg_10006_3,0.9978549639742773
sg_10006_4,0.6376970545923252
sg_10007_1,0.55042443128054
sg_10007_2,0.997751395065728
sg_10007_3,0.9989666488476872
sg_10007_4,0.9319591573616423
sg_10008_1,0.915289363003018
sg_10008_2,0.6280081815202737
sg_10008_3,0.21095385769020347
sg_10008_4,0.9749779629661045
sg_10009_1,0.9937210534197544
sg_10009_2,0.7800273356834937
sg_10009_3,0.9922970276823054
sg_10009_4,0.7874764173022691
sg_1000_1,0.9959353030151789
sg_1000_2,0.7518676766182276
sg_1000_3,0.991588143015556
sg_1000_4,0.33438656974983505
sg_100101267_1,0.398504031163211
sg_100101267_2,0.9806128989596599
sg_100101267_3,0.9313912777672706
sg_100101267_4,0.3543611160176973
sg_100101467_1,0.9891932799456031
sg_100101467_2,0.8802649058173105
sg_100101467_3,0.9303325260556013
sg_100101467_4,0.903116124293242
