sgrna,efficacy
sg_10000_1,0.9368286710662994
sg_10000_2,0.9456919220296681
sg_10000_3,0.41991325892750714
sg_10000_4,0.9052930201373665
sg_10001_1,0.5857094558853064
sg_10001_2,0.9986670589374026
sg_10001_3,0.9446888872181971
sg_10001_4,0.8454851788866365
sg_10002_1,0.9914787357470115
sg_10002_2,0.9646903101173634
sg_10002_3,0.48674865377506904
sg_10002_4,0.7319463298762883
sg_100037417_1,0.9669109800463859
sg_100037417_2,0.688556402745895
sg_100037417_3,0.4262432176707906
sg_100037417_4,0.9762085325894109
sg_10003_1,0.9631570377338114
sg_10003_2,0.9508702927309033
sg_10003_3,0.5769324355860402
sg_10003_4,0.364929451938259
sg_100049587_1,0.9630808809678738
sg_100049587_2,0.9822020798668956
sg_100049587_3,0.806261633320526
sg_100049587_4,0.9724898336194265
sg_10004_1,0.951780177095732
sg_10004_2,0.9904123351111462
sg_10004_3,0.9980478792011581
sg_10004_4,0.9647556907410764
sg_10005_1,0.983825463634456
sg_10005_2,0.9846847911780864
sg_10005_3,0.902962135659032
sg_10005_4,0.5485650362850821
sg_10006_1,0.9895703386451435
sg_10006_2,0.6667440277281558
sg_10006_3,0.6275448099757168
sg_10006_4,0.46120401407511485
sg_10007_1,0.6412017092362203
sg_10007_2,0.9313336129130818
sg_10007_3,0.993045964126295
sg_10007_4,0.9898238497299965
sg_10008_1,0.99095098898983
sg_10008_2,0.4730039581894561
sg_10008_3,0.967127721046448
sg_10008_4,0.7883985340213041
sg_10009_1,0.9898143762605365
sg_10009_2,0.9684818903202475
sg_10009_3,0.5056767986173214
sg_10009_4,0.9438348245550642
sg_1000_1,0.5933531097506677
sg_1000_2,0.6374174136588684
sg_1000_3,0.982362633075602
sg_1000_4,0.5596694499108128
sg_100101267_1,0.4252808651654371
sg_100101267_2,0.9344805481008549
sg_100101267_3,0.9058703479263158
sg_100101267_4,0.37694973820038863
sg_100101467_1,0.9799668066337741
sg_100101467_2,0.8881166042801554
sg_100101467_3,0.15274268750765446
sg_100101467_4,0.8615123540322774
sg_10010_1,0.7466119560908464
sg_10010_2,0.4129878884579639
sg_10010_3,0.9912730956601442
sg_10010_4,0.9916706212847299
sg_100113407_1,0.7570621179386807
sg_100113407_2,0.8987658776387987
sg_100113407_3,0.9352551260138494
sg_100113407_4,0.15368363822228678
sg_10011_1,0.6188991487980282
sg_10011_2,0.9950475653280884
sg_10011_3,0.7712092571889814
sg_10011_4,0.9924808483121804
sg_100125288_1,0.9763544938526393
sg_100125288_2,0.9790033357750781
sg_100125288_3,0.9997934432020602
sg_100125288_4,0.996395394755377
sg_100127206_1,0.9835246785824173
sg_100127206_2,0.9903081435615692
sg_100127206_3,0.8933883979470643
sg_100127206_4,0.14501493216481648
sg_100127889_1,0.7786981082621683
sg_100127889_2,0.9746596057165402
sg_100127889_3,0.9145965907104661
sg_100127889_4,0.7173658630581174
sg_100127983_1,0.9691914529579165
sg_100127983_2,0.9960480525869042
sg_100127983_3,0.8602634892830352
sg_100127983_4,0.8704507664078763
sg_100128071_1,0.8686704713839388
sg_100128071_2,0.9337592187429162
sg_100128071_3,0.954925469443024
sg_100128071_4,0.9866087580253453
sg_100128124_1,0.5812663158751562
sg_100128124_2,0.9873792427275284
sg_100128124_3,0.960021413497051
sg_100128124_4,0.9446352090231642
sg_100128327_1,0.6644280477757727
sg_100128327_2,0.9222355520148202
sg_100128327_3,0.28692583122744314
sg_100128327_4,0.9546807894695922
sg_100128496_1,0.762360673168391
sg_100128496_2,0.9944238862890595
sg_100128496_3,0.967027019731519
sg_100128496_4,0.989305607777228
sg_100128553_1,0.9962449074665004
sg_100128553_2,0.5767236510734427
sg_100128553_3,0.4546257365879955
sg_100128553_4,0.9904028414114158
sg_100128569_1,0.9739983338840128
sg_100128569_2,0.7788412879827235
sg_100128569_3,0.6727501766687498
sg_100128569_4,0.15894140374352725
sg_100128731_1,0.47897266535215993
sg_100128731_2,0.8984912645136344
sg_100128731_3,0.9834216129151867
sg_100128731_4,0.9481564161722967
sg_100129083_1,0.9650008930566708
sg_100129083_2,0.968676074535527
sg_100129083_3,0.9795153391313638
sg_100129083_4,0.9957248450419005
sg_100129094_1,0.9414751920413941
sg_100129094_2,0.9859253908965404
sg_100129094_3,0.9409147334833862
sg_100129094_4,0.5245315865240276
sg_100129128_1,0.997196527439955
sg_100129128_2,0.9913223690924725
sg_100129128_3,0.9944132444270938
sg_100129128_4,0.9969614972561877
sg_100129216_1,0.21870694998732865
sg_100129216_2,0.8534023946319994
sg_100129216_3,0.8903950216573941
sg_100129216_4,0.15099802199960494
sg_100129239_1,0.9977588518845226
sg_100129239_2,0.9905059934972572
sg_100129239_3,0.9896682128016614
sg_100129239_4,0.9989262092089413
sg_100129271_1,0.9984036425688345
sg_100129271_2,0.9464798273165603
sg_100129271_3,0.9978812481876551
sg_100129271_4,0.9183136386719175
sg_100129361_1,0.9159022691064431
sg_100129361_2,0.9540904842849883
sg_100129361_3,0.9868997499613092
sg_100129361_4,0.6639130569562214
sg_100129385_1,0.37632036216722287
sg_100129385_2,0.9986998289364306
sg_100129385_3,0.9769576750056866
sg_100129385_4,0.7881580085008142
