sgrna,gene
sg_10106_3,CTDSP2
sg_339451_3,KLHL17
sg_7080_1,NKX2-1
sg_440829_4,SHISA8
sg_339488_1,TFAP2E
sg_9806_3,SPOCK2
sg_8346_1,HIST1H2BI
sg_781_1,CACNA2D1
sg_80344_4,DCAF11
sg_7070_4,THY1
sg_344901_1,OSTN
sg_22941_4,SHANK2
sg_57228_3,SMAGP
sg_80864_2,EGFL8
sg_100130451_2,LOC100130451
sg_169270_2,ZNF596
sg_122773_1,KLHDC1
sg_57228_4,SMAGP
sg_28512_3,NKIRAS1
sg_3310_2,HSPA6
sg_256356_2,GK5
sg_1973_3,EIF4A1
sg_3146_2,HMGB1
sg_64121_4,RRAGC
sg_84319_3,CMSS1
sg_51265_3,CDKL3
sg_54960_2,GEMIN8
sg_2669_2,GEM
sg_51292_2,GMPR2
sg_390429_2,OR4N2
sg_10810_1,WASF3
sg_83742_4,MARVELD1
sg_390323_3,OR6C75
sg_567_2,B2M
sg_51099_3,ABHD5
sg_54868_2,TMEM104
sg_3604_1,TNFRSF9
sg_51100_1,SH3GLB1
sg_166379_1,BBS12
sg_160065_4,PATE1
sg_8557_2,TCAP
sg_338699_2,ANKRD42
sg_1182_3,CLCN3
sg_9615_3,GDA
sg_8078_4,USP5
sg_9931_1,HELZ
sg_245932_3,DEFB119
sg_391712_4,TRIM61
sg_388228_2,SBK1
sg_51343_4,FZR1
sg_55450_1,CAMK2N1
sg_55844_3,PPP2R2D
sg_11237_1,RNF24
sg_NTC_438,Non_Targeting_Control_438
sg_348807_3,CCDC37
sg_54872_4,PIGG
sg_6748_3,SSR4
sg_8270_2,LAGE3
sg_6654_1,SOS1
sg_871_1,SERPINH1
sg_30827_2,CXXC1
sg_346653_2,FAM71F2
sg_22795_2,NID2
sg_222584_3,FAM83B
sg_55561_2,CDC42BPG
sg_23197_3,FAF2
sg_389677_4,RBM12B
sg_5782_2,PTPN12
sg_9830_2,TRIM14
sg_2556_2,GABRA3
sg_6696_3,SPP1
sg_9652_4,TTC37
sg_5172_1,SLC26A4
sg_121260_4,SLC15A4
sg_219438_4,OR5D18
sg_101059938_3,NPIPA7
sg_54700_4,RRN3
sg_4678_1,NASP
sg_57505_4,AARS2
sg_3444_4,IFNA7
sg_1486_4,CTBS
sg_128308_4,MRPL55
sg_90355_1,C5orf30
sg_925_2,CD8A
sg_29895_1,MYLPF
sg_6737_2,TRIM21
sg_3118_3,HLA-DQA2
sg_4800_4,NFYA
sg_10857_4,PGRMC1
sg_133022_1,TRAM1L1
sg_25966_2,C2CD2
sg_80119_3,PIF1
sg_2771_2,GNAI2
sg_26470_2,SEZ6L2
sg_285_1,ANGPT2
sg_2018_2,EMX2
sg_342933_3,ZSCAN5B
sg_401546_3,C9orf152
sg_55671_2,SMEK1
sg_11178_3,LZTS1
sg_7181_2,NR2C1
sg_5196_2,PF4
sg_9976_4,CLEC2B
sg_55096_1,EBLN2
sg_4665_2,NAB2
sg_10800_4,CYSLTR1
sg_7322_3,UBE2D2
sg_84103_1,C4orf17
sg_79694_4,MANEA
sg_84316_4,NAA38
sg_51676_4,ASB2
sg_3608_2,ILF2
sg_8624_3,PSMG1
sg_8907_4,AP1M1
sg_9527_3,GOSR1
sg_4661_3,MYT1
sg_6997_1,TDGF1
sg_29911_1,HOOK2
sg_5423_4,POLB
sg_10585_1,POMT1
sg_403277_1,OR5K3
sg_9374_3,PPT2
sg_2615_3,LRRC32
sg_4790_4,NFKB1
sg_123228_1,SENP8
sg_6672_3,SP100
sg_117156_2,SCGB3A2
sg_57093_3,TRIM49
sg_375449_1,MAST4
sg_401466_2,C8orf59
sg_79961_3,DENND2D
sg_9911_1,TMCC2
sg_63892_3,THADA
sg_51458_1,RHCG
sg_256158_2,HMCN2
sg_7072_3,TIA1
sg_400736_1,LOC400736
sg_11216_2,AKAP10
sg_843_2,CASP10
sg_55669_1,MFN1
sg_56061_4,UBFD1
sg_645811_1,CCDC154
sg_3781_4,KCNN2
sg_60678_2,EEFSEC
sg_7307_3,U2AF1
sg_90060_2,CCDC120
sg_10665_2,C6orf10
sg_51703_4,ACSL5
sg_10507_2,SEMA4D
sg_7425_2,VGF
sg_1962_2,EHHADH
sg_2037_4,EPB41L2
sg_146330_2,FBXL16
sg_255928_1,SYT14
sg_255374_4,MBLAC1
sg_3562_4,IL3
sg_4659_1,PPP1R12A
sg_55856_2,ACOT13
sg_81696_4,OR5V1
sg_54504_3,CPVL
sg_81858_1,SHARPIN
sg_10277_2,UBE4B
sg_91624_4,NEXN
sg_9183_2,ZW10
sg_84206_4,MEX3B
sg_55796_3,MBNL3
sg_9781_4,RNF144A
sg_9639_4,ARHGEF10
sg_131149_1,OTOL1
sg_9401_4,RECQL4
sg_400954_3,EML6
sg_57679_2,ALS2
sg_6602_4,SMARCD1
sg_9441_3,MED26
sg_10982_2,MAPRE2
sg_26088_4,GGA1
sg_25763_2,HYPM
sg_NTC_644,Non_Targeting_Control_644
sg_10475_3,TRIM38
sg_122945_1,NOXRED1
sg_80194_4,TMEM134
sg_10105_1,PPIF
sg_6249_2,CLIP1
sg_79814_4,AGMAT
sg_NTC_505,Non_Targeting_Control_505
sg_285268_1,ZNF621
sg_51393_2,TRPV2
sg_57561_2,ARRDC3
sg_93380_2,MMGT1
sg_7327_4,UBE2G2
sg_22928_4,SEPHS2
sg_3914_3,LAMB3
sg_285311_1,C3orf56
sg_100423062_2,IGLL5
sg_641_4,BLM
sg_8334_1,HIST1H2AC
sg_55327_4,LIN7C
sg_140456_1,ASB11
sg_348013_4,TMEM255B
sg_7352_2,UCP3
sg_22941_1,SHANK2
sg_442425_3,FOXB2
sg_58484_1,NLRC4
sg_345_4,APOC3
sg_10246_3,SLC17A2
sg_144245_3,ALG10B
sg_55317_1,AP5S1
sg_3570_3,IL6R
sg_50856_2,CLEC4A
sg_285605_3,DTWD2
sg_23213_3,SULF1
sg_55143_1,CDCA8
sg_6869_3,TACR1
sg_25_1,ABL1
sg_100130827_4,SBK3
sg_54675_4,CRLS1
sg_2735_1,GLI1
sg_79168_2,LILRA6
sg_55038_3,CDCA4
sg_10670_3,RRAGA
sg_5705_2,PSMC5
sg_51056_2,LAP3
sg_84215_2,ZNF541
sg_128367_4,OR10X1
sg_55258_1,THNSL2
sg_5626_3,PROP1
sg_23145_2,SSPO
sg_10169_1,SERF2
sg_27197_1,GPR82
sg_4172_1,MCM3
sg_494551_4,WEE2
sg_2488_4,FSHB
sg_4548_2,MTR
sg_57413_3,TMIGD3
sg_266812_1,NAP1L5
sg_6452_1,SH3BP2
sg_113179_2,ADAT3
sg_55922_3,NKRF
sg_265_3,AMELX
sg_83953_3,FCAMR
sg_8747_4,ADAM21
sg_8976_1,WASL
sg_3758_4,KCNJ1
sg_150726_3,FBXO41
sg_84549_2,MAK16
sg_100130274_1,CCDC166
sg_5030_2,P2RY4
sg_9854_1,C2CD2L
sg_1267_2,CNP
sg_80127_2,CCDC176
sg_729_3,C6
sg_84955_1,NUDCD1
sg_346653_1,FAM71F2
sg_100861437_2,NARR
sg_128653_4,C20orf141
sg_219968_2,OR5B21
sg_10920_1,COPS8
sg_54627_2,MAP10
sg_55937_3,APOM
sg_1088_3,CEACAM8
sg_NTC_981,Non_Targeting_Control_981
sg_9618_2,TRAF4
sg_57728_1,WDR19
sg_160419_3,C12orf50
