sgrna,efficacy
sg_10000_1,0.9708374232905732
sg_10000_2,0.1999894654001999
sg_10000_3,0.882647332449495
sg_10000_4,0.5437014261613258
sg_10001_1,0.9872903688778057
sg_10001_2,0.7671205437591077
sg_10001_3,0.9888197058684023
sg_10001_4,0.5804022860341918
sg_10002_1,0.9976162842888697
sg_10002_2,0.15747532592103491
sg_10002_3,0.9849228810007385
sg_10002_4,0.9733770289793235
sg_100037417_1,0.16237893117934427
sg_100037417_2,0.9902419127039118
sg_100037417_3,0.9338630892783184
sg_100037417_4,0.1824214895738568
sg_10003_1,0.8063342516947205
sg_10003_2,0.2097236623609116
sg_10003_3,0.34154191411747314
sg_10003_4,0.9820482653931594
sg_100049587_1,0.4792123536162032
sg_100049587_2,0.8415541272437033
sg_100049587_3,0.9253489175818455
sg_100049587_4,0.9714414508938765
sg_10004_1,0.2374334445908552
sg_10004_2,0.31534222062711276
sg_10004_3,0.9138395225498743
sg_10004_4,0.9667464876067196
sg_10005_1,0.7898005375772434
sg_10005_2,0.9920986627508148
sg_10005_3,0.8247492516121677
sg_10005_4,0.18763570867168994
sg_10006_1,0.9952663863147676
sg_10006_2,0.9878866010724072
sg_10006_3,0.9084736737485626
sg_10006_4,0.9448678533049789
sg_10007_1,0.538614533756528
sg_10007_2,0.34575231272815304
sg_10007_3,0.7177614378394628
sg_10007_4,0.9833596538704925
sg_10008_1,0.9675511924913871
sg_10008_2,0.9795650021806587
sg_10008_3,0.942093603737249
sg_10008_4,0.316379018830315
sg_10009_1,0.9873749229746964
sg_10009_2,0.9791418870279086
sg_10009_3,0.38785864360181194
sg_10009_4,0.9780819334931056
sg_1000_1,0.9730099485932738
sg_1000_2,0.9949717762608443
sg_1000_3,0.9947412403380721
sg_1000_4,0.9983730170142137
sg_100101267_1,0.36351159150246104
sg_100101267_2,0.9997630983833089
sg_100101267_3,0.9500217935839678
sg_100101267_4,0.18747538790570495
sg_100101467_1,0.9598912904223453
sg_100101467_2,0.3134446660455392
sg_100101467_3,0.3676385281038418
sg_100101467_4,0.9299755454950865
sg_10010_1,0.9951532450142845
sg_10010_2,0.9654736709845891
sg_10010_3,0.047548918069077906
sg_10010_4,0.7952627670289092
sg_100113407_1,0.041995050997280264
sg_100113407_2,0.9924637716766829
sg_100113407_3,0.1940789137988998
sg_100113407_4,0.9924312549205097
sg_10011_1,0.9964789159058697
sg_10011_2,0.8177836109010176
sg_10011_3,0.663127674961955
sg_10011_4,0.4116876991806849
sg_100125288_1,0.1350058741785812
sg_100125288_2,0.2051642391765518
sg_100125288_3,0.9989676181401
sg_100125288_4,0.9869577365928166
sg_100127206_1,0.6558642466080542
sg_100127206_2,0.2133560676014067
sg_100127206_3,0.39281065134119
sg_100127206_4,0.989390116404503
sg_100127889_1,0.8432740281769371
sg_100127889_2,0.9834727884074125
sg_100127889_3,0.8927032306324384
sg_100127889_4,0.5479432062184163
sg_100127983_1,0.4042209644399754
sg_100127983_2,0.9979198386166325
sg_100127983_3,0.6802542928813649
sg_100127983_4,0.1362577192372606
sg_100128071_1,0.9905866025583431
sg_100128071_2,0.13169012107994937
sg_100128071_3,0.9875579385044577
sg_100128071_4,0.11045525548904864
sg_100128124_1,0.13989065377065069
sg_100128124_2,0.982835505042559
sg_100128124_3,0.993881740862856
sg_100128124_4,0.9688220113148603
sg_100128327_1,0.5576618408908994
sg_100128327_2,0.9749191397743527
sg_100128327_3,0.8169560341468648
sg_100128327_4,0.7362091766705103
sg_100128496_1,0.9953461108566632
sg_100128496_2,0.19209333456051933
sg_100128496_3,0.17092253143033317
sg_100128496_4,0.997708880222691
sg_100128553_1,0.992138151530222
sg_100128553_2,0.9332141868819456
sg_100128553_3,0.20598677480811983
sg_100128553_4,0.33891351973219463
sg_100128569_1,0.9590435483306293
sg_100128569_2,0.39092432646833886
sg_100128569_3,0.9942071997600138
sg_100128569_4,0.9743387057678791
sg_100128731_1,0.25001808435949485
sg_100128731_2,0.9695545826956469
sg_100128731_3,0.47250795182412614
sg_100128731_4,0.9957659293388199
sg_100129083_1,0.9422620455468372
sg_100129083_2,0.3150380503887121
sg_100129083_3,0.989258692612091
sg_100129083_4,0.3286088146201061
sg_100129094_1,0.9614676208403498
sg_100129094_2,0.9685432389816654
sg_100129094_3,0.994060912444769
sg_100129094_4,0.04639657766630517
sg_100129128_1,0.9627034250910036
sg_100129128_2,0.9890728903360513
sg_100129128_3,0.3048114336263294
sg_100129128_4,0.7018918083076214
sg_100129216_1,0.17899315861231263
sg_100129216_2,0.9068231532735349
sg_100129216_3,0.9848749226694536
sg_100129216_4,0.9671684198626235
sg_100129239_1,0.9826973886438978
sg_100129239_2,0.993269689370272
sg_100129239_3,0.5875877213588071
sg_100129239_4,0.8626111212677214
sg_100129271_1,0.9995742416278018
sg_100129271_2,0.1895676559491742
sg_100129271_3,0.222809793285876
sg_100129271_4,0.5383623442771209
sg_100129361_1,0.16038333563175722
sg_100129361_2,0.925898777824529
sg_100129361_3,0.9882980180737481
sg_100129361_4,0.7307620895186349
sg_100129385_1,0.9876411018844105
sg_100129385_2,0.9768854271441131
sg_100129385_3,0.9935680643124539
sg_100129385_4,0.0533079264867618
sg_100129480_1,0.9689289273529541
sg_100129480_2,0.9956016351254087
sg_100129480_3,0.6700314122077352
sg_100129480_4,0.6260206128885799
sg_100129520_1,0.9999750957344745
sg_100129520_2,0.13005531094041878
sg_100129520_3,0.6307893373058392
sg_100129520_4,0.958196577902215
sg_100129543_1,0.9671556981169355
sg_100129543_2,0.7460255918839684
sg_100129543_3,0.8357790247308459
sg_100129543_4,0.7485596514452028
sg_100129583_1,0.08264006449133317
sg_100129583_2,0.05421490674731997
sg_100129583_3,0.9930580733999101
sg_100129583_4,0.9815255362901296
sg_100129654_1,0.5161237738111205
sg_100129654_2,0.8254151529576003
sg_100129654_3,0.993234273667646
sg_100129654_4,0.7985336875179732
sg_100129669_1,0.9675636185290821
sg_100129669_2,0.05232171128850682
sg_100129669_3,0.2637849316075944
sg_100129669_4,0.9702415771228284
sg_100129697_1,0.13171789912622642
sg_100129697_2,0.9825818460409663
sg_100129697_3,0.1527923555880285
sg_100129697_4,0.9815917271290358
sg_100129792_1,0.9817805489208826
sg_100129792_2,0.49714686493889204
sg_100129792_3,0.6272137349036789
sg_100129792_4,0.32107867672392865
sg_100129842_1,0.09378419313098327
sg_100129842_2,0.9897751523556967
sg_100129842_3,0.2035120124895414
sg_100129842_4,0.9880424859957745
sg_100129924_1,0.9992384270254828
sg_100129924_2,0.9945333282638898
sg_100129924_3,0.9924427644254021
sg_100129924_4,0.9986322204647012
sg_100129940_1,0.9892576025588256
sg_100129940_2,0.8311533053163354
sg_100129940_3,0.8247378271545458
sg_100129940_4,0.10862120000159754
sg_100130086_1,0.169318161766711
sg_100130086_2,0.882961856170217
sg_100130086_3,0.9375702772953535
sg_100130086_4,0.9961884567102064
sg_100130274_1,0.20015952398593734
sg_100130274_2,0.9945827771296365
sg_100130274_3,0.3654656427853027
sg_100130274_4,0.9975754670251837
sg_100130301_1,0.9713652053540952
sg_100130301_2,0.2000232453745051
sg_100130301_3,0.22639245789264423
sg_100130301_4,0.9226588457453961
sg_100130302_1,0.9591561066071668
sg_100130302_2,0.8467562819146688
sg_100130302_3,0.22920588720984061
sg_100130302_4,0.9416609675344026
sg_100130311_1,0.998184734122045
sg_100130311_2,0.034082590725328814
sg_100130311_3,0.8293195264754605
sg_100130311_4,0.5748396376483189
sg_100130348_1,0.9030659517017212
sg_100130348_2,0.17144352489930964
sg_100130348_3,0.5431646819714537
sg_100130348_4,0.9923018446662145
sg_100130357_1,0.9124349830729389
sg_100130357_2,0.9532207869083615
sg_100130357_3,0.9763051268839916
sg_100130357_4,0.9599430134574362
sg_100130361_1,0.9025203047270904
sg_100130361_2,0.3873309641310591
sg_100130361_3,0.03525557525740811
sg_100130361_4,0.9656818405226191
sg_100130370_1,0.9860000950822494
sg_100130370_2,0.7363771295302475
sg_100130370_3,0.5303950105570757
sg_100130370_4,0.5218308543253402
sg_100130451_1,0.9392324989181506
sg_100130451_2,0.07310469397658768
sg_100130451_3,0.9845244525868359
sg_100130451_4,0.13797321381981822
sg_100130519_1,0.9827115830798029
sg_100130519_2,0.9968671435446305
sg_100130519_3,0.9948115399179929
sg_100130519_4,0.9693115067437261
sg_100130539_1,0.27447402057815434
sg_100130539_2,0.14289722603387767
sg_100130539_3,0.10856310249391085
sg_100130539_4,0.9942375739151222
sg_100130613_1,0.4130717974992152
sg_100130613_2,0.9785766693777029
sg_100130613_3,0.9056366319108116
sg_100130613_4,0.1324319580708414
sg_100130705_1,0.053728814034367745
sg_100130705_2,0.9275293859209053
sg_100130705_3,0.9812441694438998
sg_100130705_4,0.9975096558913324
sg_100130733_1,0.3566422081140452
sg_100130733_2,0.9911153882232759
sg_100130733_3,0.8784527240225388
sg_100130733_4,0.9396529893145134
sg_100130742_1,0.9990416882357823
sg_100130742_2,0.9652039194429413
sg_100130742_3,0.513337769183212
sg_100130742_4,0.09816658208873646
sg_100130827_1,0.978918227261442
sg_100130827_2,0.09703650073877498
sg_100130827_3,0.9812786094461909
sg_100130827_4,0.9093568543105301
sg_100130880_1,0.9346146001554367
sg_100130880_2,0.9898873012061757
sg_100130880_3,0.978319536509979
sg_100130880_4,0.5375742551108851
sg_100130890_1,0.8926524320224386
sg_100130890_2,0.9751854970109028
sg_100130890_3,0.9917114297584663
sg_100130890_4,0.43115876901423794
sg_100130933_1,0.06746059597620756
sg_100130933_2,0.06375058849734588
sg_100130933_3,0.9924977948443838
sg_100130933_4,0.991057550653018
sg_100130958_1,0.23260925988119913
sg_100130958_2,0.9930660093535029
sg_100130958_3,0.9906669991380287
sg_100130958_4,0.12345444297547842
sg_100130967_1,0.05315719778879222
sg_100130967_2,0.5317994608354936
sg_100130967_3,0.9915041994111492
sg_100130967_4,0.8748020927339591
sg_100130988_1,0.982320698428652
sg_100130988_2,0.9757221085372789
sg_100130988_3,0.05530925711075553
sg_100130988_4,0.04681652518665906
sg_100131017_1,0.9154755279596775
sg_100131017_2,0.953117326891166
sg_100131017_3,0.9576453411862483
sg_100131017_4,0.3215927654189391
sg_100131094_1,0.9323591416745951
sg_100131094_2,0.8275357116117592
sg_100131094_3,0.5315324289852359
sg_100131094_4,0.9991427996636426
sg_100131137_1,0.15011595225659494
sg_100131137_2,0.9685210587337615
sg_100131137_3,0.8357700704584453
sg_100131137_4,0.4168035106145152
sg_100131187_1,0.9961682923037102
sg_100131187_2,0.2201576874813853
sg_100131187_3,0.5999058044535961
sg_100131187_4,0.9833649505039578
sg_100131211_1,0.6913413631797697
sg_100131211_2,0.3908566149399326
sg_100131211_3,0.8590849795357847
sg_100131211_4,0.9977495698107229
sg_100131244_1,0.9966044293435647
sg_100131244_2,0.35447266559305324
sg_100131244_3,0.032432507729174054
sg_100131244_4,0.9461756133933439
sg_100131303_1,0.05960111921917003
sg_100131303_2,0.4520678645022254
sg_100131303_3,0.9800132408477813
sg_100131303_4,0.10924112598549723
sg_100131378_1,0.9105029334766378
sg_100131378_2,0.36640463840388277
sg_100131378_3,0.9459311632334239
sg_100131378_4,0.06710995431989131
sg_100131390_1,0.9911786467484238
sg_100131390_2,0.07874387296616228
sg_100131390_3,0.9904941243304032
sg_100131390_4,0.2360556784544744
sg_100131439_1,0.9935364271743667
sg_100131439_2,0.15155543477585773
sg_100131439_3,0.8085683249409827
sg_100131439_4,0.536469138848326
sg_100131539_1,0.17634780941426734
sg_100131539_2,0.9909948101167079
sg_100131539_3,0.6248405513451856
sg_100131539_4,0.9606110027104733
sg_100131608_1,0.8553886671054495
sg_100131608_2,0.9550668904204613
sg_100131608_3,0.22089290317271254
sg_100131608_4,0.9736689964178683
sg_100131755_1,0.977732565652617
sg_100131755_2,0.9247226533359386
sg_100131755_3,0.9763386078903141
sg_100131755_4,0.10490563987519554
sg_100131801_1,0.9402072132238083
sg_100131801_2,0.9860215229691831
sg_100131801_3,0.2890065865277853
sg_100131801_4,0.08398812221421134
sg_100131827_1,0.15251111781290017
sg_100131827_2,0.7621239011832291
sg_100131827_3,0.9944715844578249
sg_100131827_4,0.9985445256655596
sg_100131897_1,0.38704052257754507
sg_100131897_2,0.6738396343871823
sg_100131897_3,0.4059420133935994
sg_100131897_4,0.9650653634103386
sg_100131902_1,0.4597785635249563
sg_100131902_2,0.6796172533363005
sg_100131902_3,0.997078937454359
sg_100131902_4,0.36748445575843064
sg_100131980_1,0.05460204012706432
sg_100131980_2,0.9999983457322255
sg_100131980_3,0.6009859829170898
sg_100131980_4,0.9636818140899923
sg_100132074_1,0.9669193175630487
sg_100132074_2,0.16828969552302986
sg_100132074_3,0.9976595824820885
sg_100132074_4,0.9860654543898328
sg_100132146_1,0.14733291650950497
sg_100132146_2,0.45014600365585994
sg_100132146_3,0.9535730411068415
sg_100132146_4,0.6944188976795451
sg_100132247_1,0.24954697936284667
sg_100132247_2,0.9753163525599168
sg_100132247_3,0.9858022151919364
sg_100132247_4,0.579004575258229
sg_100132386_1,0.3321261102675894
sg_100132386_2,0.15288747643634676
sg_100132386_3,0.3141389107705582
sg_100132386_4,0.9774689560194204
sg_100132396_1,0.9820059090102813
sg_100132396_2,0.994865521262777
sg_100132396_3,0.9712782589334331
sg_100132396_4,0.644484117916793
sg_100132403_1,0.9904895018133621
sg_100132403_2,0.10367436233179705
sg_100132403_3,0.09903089033288685
sg_100132403_4,0.9654598784082926
sg_100132406_1,0.9882051915880863
sg_100132406_2,0.8266471324838474
sg_100132406_3,0.734975845257102
sg_100132406_4,0.9522024745776987
sg_100132463_1,0.4588157539332038
sg_100132463_2,0.3644376656925139
sg_100132463_3,0.4864416917121962
sg_100132463_4,0.9926214324017216
sg_100132476_1,0.9571212949672825
sg_100132476_2,0.996858257471031
sg_100132476_3,0.6673515437545519
sg_100132476_4,0.49605407774125565
sg_100132911_1,0.9942597234483412
sg_100132911_2,0.43835166807550896
sg_100132911_3,0.9807671723456984
sg_100132911_4,0.6773111824866617
sg_100132916_1,0.9818423713893609
sg_100132916_2,0.9817994502495804
sg_100132916_3,0.9988653134423537
sg_100132916_4,0.20233507091842085
sg_100132963_1,0.14322886229535156
sg_100132963_2,0.7172340436404249
sg_100132963_3,0.9917236342126998
sg_100132963_4,0.7026829246979042
sg_100132994_1,0.9912451136468574
sg_100132994_2,0.13847421785655561
sg_100132994_3,0.09753921580177763
sg_100132994_4,0.31995894058098034
sg_100133053_1,0.6054312364064877
sg_100133053_2,0.9966907295379513
sg_100133053_3,0.9999121744721134
sg_100133053_4,0.029961016633199614
sg_100133093_1,0.48183852885953055
sg_100133093_2,0.9699771412840101
sg_100133093_3,0.9846808730969008
sg_100133093_4,0.993619676088795
sg_100133251_1,0.9712547652820661
sg_100133251_2,0.9896656777571177
sg_100133251_3,0.1984463571264254
sg_100133251_4,0.9750434309958246
sg_100133267_1,0.9278286119538897
sg_100133267_2,0.9838405713707317
sg_100133267_3,0.12928426655936184
sg_100133267_4,0.9537093103473507
sg_100133941_1,0.9917679600083672
sg_100133941_2,0.054136759384513705
sg_100133941_3,0.43949872700720455
sg_100133941_4,0.037584670478436805
sg_100134391_1,0.08631512477672258
sg_100134391_2,0.9963003344129165
sg_100134391_3,0.9687461090902985
sg_100134391_4,0.9995042454996848
sg_100134444_1,0.9920998422215199
sg_100134444_2,0.04003085404189338
sg_100134444_3,0.8179642939191738
sg_100134444_4,0.06044523661775028
sg_100134934_1,0.20277647069415544
sg_100134934_2,0.06359167016519704
sg_100134934_3,0.9934413401289941
sg_100134934_4,0.052519958646593506
sg_100134938_1,0.5199101603553253
sg_100134938_2,0.9858454358058629
sg_100134938_3,0.9904095648150096
sg_100134938_4,0.640917042699889
sg_100137047_1,0.9990434436346561
sg_100137047_2,0.09509233839530767
sg_100137047_3,0.07586628436570428
sg_100137047_4,0.9758158744565955
sg_100137049_1,0.9879649267960573
sg_100137049_2,0.7977500912421072
sg_100137049_3,0.2768457341820921
sg_100137049_4,0.9957758034349671
sg_10013_1,0.11386325432356212
sg_10013_2,0.13595837943235306
sg_10013_3,0.991077889077608
sg_10013_4,0.9799043424079305
sg_100141515_1,0.083313891361355
sg_100141515_2,0.9962863866742758
sg_100141515_3,0.3850796939098297
sg_100141515_4,0.13889421065998622
sg_100142659_1,0.9869779555614007
sg_100142659_2,0.9558966869583857
sg_100142659_3,0.8194935026192106
sg_100142659_4,0.2649784894382533
sg_100144595_1,0.4617817160667531
sg_100144595_2,0.49484528394206284
sg_100144595_3,0.999380030771567
sg_100144595_4,0.9863773491129206
sg_100144748_1,0.9681489579067862
sg_100144748_2,0.9864517746138394
sg_100144748_3,0.3429703320570797
sg_100144748_4,0.27444692641591306
sg_10014_1,0.2147602967989338
sg_10014_2,0.9329948893154071
sg_10014_3,0.1238919280427708
sg_10014_4,0.9489862704247921
sg_10015_1,0.21843857198685127
sg_10015_2,0.9958573800163687
sg_10015_3,0.171956797438798
sg_10015_4,0.9816567666092905
sg_100169851_1,0.7112508592753637
sg_100169851_2,0.972448472862606
sg_100169851_3,0.4183950739696734
sg_100169851_4,0.5069856408824123
sg_10016_1,0.1411447645425217
sg_10016_2,0.15570953018116263
sg_10016_3,0.9061079632742114
sg_10016_4,0.9957959942849369
sg_100170229_1,0.05815343418353751
sg_100170229_2,0.935348385926435
sg_100170229_3,0.9858609742632691
sg_100170229_4,0.1587135102764967
sg_100170765_1,0.6660785164849833
sg_100170765_2,0.6966454545210748
sg_100170765_3,0.3429944481714895
sg_100170765_4,0.9946946732984568
sg_100170841_1,0.9569464827960718
sg_100170841_2,0.5783687370437344
sg_100170841_3,0.12731688058711368
sg_100170841_4,0.9039497907221639
sg_10017_1,0.969498588193244
sg_10017_2,0.7402073651937242
sg_10017_3,0.8256282405083702
sg_10017_4,0.9930960952402235
sg_100188893_1,0.15569658761457178
sg_100188893_2,0.9867217302084405
sg_100188893_3,0.4018879985793053
sg_100188893_4,0.9933033788258954
sg_10018_1,0.9999225759450688
sg_10018_2,0.6115659810023293
sg_10018_3,0.13466758910583065
sg_10018_4,0.051093426889798135
sg_100190949_1,0.9980495674599937
sg_100190949_2,0.989547012482111
sg_100190949_3,0.36020233809174507
sg_100190949_4,0.08854579246670592
sg_100191040_1,0.6601220449257514
sg_100191040_2,0.14744662461925623
sg_100191040_3,0.8994399604322948
sg_100191040_4,0.9955750812377813
sg_10019_1,0.7211619477875661
sg_10019_2,0.8730567536195728
sg_10019_3,0.9603767548493679
sg_10019_4,0.978468201246848
sg_1001_1,0.9999777909692903
sg_1001_2,0.9994091055786837
sg_1001_3,0.10544411736836995
sg_1001_4,0.5950006874348156
sg_10020_1,0.9957209086498013
sg_10020_2,0.984158653684171
sg_10020_3,0.19814353245244676
sg_10020_4,0.33507772076847314
sg_10021_1,0.8813755373785049
sg_10021_2,0.6469609526598731
sg_10021_3,0.9951587134843063
sg_10021_4,0.6191190564473089
sg_10022_1,0.12032151268134214
sg_10022_2,0.9304874525014333
sg_10022_3,0.9761894565107072
sg_10022_4,0.1306566842398682
sg_10023_1,0.4409182762288938
sg_10023_2,0.9883781462106772
sg_10023_3,0.9926075942145143
sg_10023_4,0.07984568760328327
sg_10024_1,0.37537236122058576
sg_10024_2,0.20541294656517356
sg_10024_3,0.9901875468869521
sg_10024_4,0.9475702967602199
sg_10025_1,0.9631654657057047
sg_10025_2,0.5915790714514286
sg_10025_3,0.17506063906221514
sg_10025_4,0.9821228643421176
sg_10026_1,0.15749281823852948
sg_10026_2,0.3904603458064241
sg_10026_3,0.9893150964275514
sg_10026_4,0.9987270508447569
sg_100271715_1,0.9438450342872152
sg_100271715_2,0.9925345586719329
sg_100271715_3,0.19579640147838956
sg_100271715_4,0.5966750436894165
sg_100271846_1,0.4296129309328352
sg_100271846_2,0.2113586880768599
sg_100271846_3,0.9992479875657742
sg_100271846_4,0.6871666272950112
sg_100271849_1,0.9789926439728553
sg_100271849_2,0.9939475155124224
sg_100271849_3,0.9879591838563109
sg_100271849_4,0.9968204502699349
sg_100271927_1,0.9694828378835092
sg_100271927_2,0.9117748869279712
