sgrna,U2OS
sg_4100_4,0.06654599145325264
sg_79770_3,0.00021873808261650696
sg_6276_1,0.07625027974672688
sg_114569_3,0.1767660646742424
sg_56413_2,0.09333612834672256
sg_84891_2,0.1147975809505892
sg_51108_2,-0.1152231556461637
sg_8522_3,0.045428753240563606
sg_9669_4,-0.12169960848007183
sg_64793_1,-0.014856626010557107
sg_401399_2,0.23233111222502392
sg_4825_3,-0.13945526814804107
sg_143_1,-0.22242115739363627
sg_29099_4,-0.045790503971302424
sg_6299_1,-0.06942382308340371
sg_3769_2,0.19027556319254563
sg_11223_3,-0.22503603689324156
sg_138724_1,-0.17227038448026802
sg_158056_2,-0.06625318573085681
sg_63923_1,0.09107434575214271
sg_170393_2,0.09771602166526423
sg_84861_3,-0.005756300092939334
sg_7771_2,-0.07224975479772686
sg_197259_3,-0.1646927686268088
sg_63036_2,0.017282554053116496
sg_4747_1,0.15214759309483117
sg_256471_4,-0.348769506576769
sg_79717_4,-0.1657064086227537
sg_100101267_3,-0.15242145586639402
sg_5439_3,0.059570022158031664
sg_55250_1,0.10976313611078078
sg_100131390_4,0.10430731437583696
sg_51160_3,0.20234129288391556
sg_7553_1,0.09685852060841336
sg_164395_3,-0.027188654195642863
sg_254531_1,-0.39068043140931824
sg_9742_1,-0.09981933344675158
sg_4694_2,-0.06760738774035756
sg_7760_1,-0.05889037749716292
sg_27179_1,0.23007531184464006
sg_5439_1,-0.44350218474865455
sg_NTC_488,0.006934260086798644
sg_80775_1,0.006039118927631195
sg_374291_1,0.07931205805679138
sg_90441_1,-0.360853182461787
sg_112840_3,0.06966511150124219
sg_NTC_341,0.006934260086798644
sg_57018_2,0.16343316194433022
sg_3050_1,-0.01203904264062419
sg_337963_4,-0.011599786777158264
sg_55144_3,-0.04730899736640138
sg_3034_4,0.07834181575161472
sg_162514_3,0.18115982430186708
sg_3958_1,-0.1988816170994748
sg_285368_2,0.10784964901841765
sg_6554_3,-0.04202089397602996
sg_169026_4,-0.11369522778391343
sg_196264_2,-0.060859006526592686
sg_8867_2,-0.06553107312567806
sg_10600_2,0.09521446096255609
sg_10226_3,-0.10692843785050436
sg_1994_3,-0.34970468426991547
sg_84947_2,-0.19147106911543765
sg_283_1,0.029744266022698897
sg_9143_4,0.08236747252542719
sg_55759_1,0.047933506521762655
sg_440050_3,-0.23495699276904847
sg_375287_2,-0.2766116066963796
sg_NTC_243,0.006934260086798644
sg_2968_1,0.05892515281180218
sg_3596_1,-0.005834985078132234
sg_646658_4,0.04910329502264987
sg_60370_4,-0.12905379177871637
sg_23386_4,-0.32692070617086255
sg_84324_2,-0.010592833258519415
sg_126068_4,0.21066229236378067
sg_344018_2,0.0655905771505126
sg_284759_1,-0.043587378451025796
sg_60558_1,0.02461478466524627
sg_2895_4,0.09920397575350386
sg_101928841_4,0.04086421811642679
sg_55585_2,-0.005133307143060576
sg_167555_2,-0.36809692531235255
sg_55113_2,0.19137796272090762
sg_10189_4,-0.3173573403067253
