sgrna,efficacy
sg_10000_1,0.782604288749581
sg_10000_2,0.9322351000971533
sg_10000_3,0.9811326244783973
sg_10000_4,0.9812502814016867
sg_10001_1,0.9250466373257369
sg_10001_2,0.8277541885549652
sg_10001_3,0.993444542075314
sg_10001_4,0.6029522604666689
sg_10002_1,0.2289101127403495
sg_10002_2,0.9896472459347447
sg_10002_3,0.9926060985621926
sg_10002_4,0.999642921199553
sg_100037417_1,0.9787024120451449
sg_100037417_2,0.14637515121013225
sg_100037417_3,0.9888500326759933
sg_100037417_4,0.737457050472673
sg_10003_1,0.15447946371603238
sg_10003_2,0.9957363307022217
sg_10003_3,0.998393069726031
sg_10003_4,0.9643892695641705
sg_100049587_1,0.9146534029889077
sg_100049587_2,0.1441512011436787
sg_100049587_3,0.9943587204620238
sg_100049587_4,0.9968067901172073
sg_10004_1,0.9979042193758085
sg_10004_2,0.5702795297476817
sg_10004_3,0.41763608121905044
sg_10004_4,0.9957553795600772
sg_10005_1,0.9954916916356271
sg_10005_2,0.9596320796460204
sg_10005_3,0.3123913107839087
sg_10005_4,0.8553908492931828
sg_10006_1,0.5492721282127158
sg_10006_2,0.9923889583966601
sg_10006_3,0.5159744954961885
sg_10006_4,0.97994916154188
sg_10007_1,0.9976664653264041
sg_10007_2,0.9922445102273915
sg_10007_3,0.3068492661159451
sg_10007_4,0.9987004306771402
sg_10008_1,0.8352057260388739
sg_10008_2,0.999127184641029
sg_10008_3,0.3792790918370559
sg_10008_4,0.9847851028256074
sg_10009_1,0.42555319422375154
sg_10009_2,0.8795078664508178
sg_10009_3,0.9954963132987855
sg_10009_4,0.7099972574475708
sg_1000_1,0.35449479032453146
sg_1000_2,0.8077950228446695
sg_1000_3,0.31961651091042
sg_1000_4,0.969388765082633
sg_100101267_1,0.3366711877002665
sg_100101267_2,0.9918665037976325
sg_100101267_3,0.9907972248052822
sg_100101267_4,0.44920466251520813
sg_100101467_1,0.9532331428661946
sg_100101467_2,0.4244142221670719
sg_100101467_3,0.043307146397767456
sg_100101467_4,0.994639289096844
sg_10010_1,0.9998143611773886
sg_10010_2,0.9996647437530336
sg_10010_3,0.8701350107824173
sg_10010_4,0.9992236494536705
sg_100113407_1,0.9858205527709027
sg_100113407_2,0.21081003188548778
sg_100113407_3,0.9959428376564388
sg_100113407_4,0.8749473574068009
sg_10011_1,0.5884663693268103
sg_10011_2,0.11441750460493319
sg_10011_3,0.9817357053333863
sg_10011_4,0.09904543219026243
sg_100125288_1,0.9900403098679631
sg_100125288_2,0.5924072688780746
sg_100125288_3,0.1554228940884245
sg_100125288_4,0.9784688845761269
sg_100127206_1,0.9960922079709082
sg_100127206_2,0.9813353394198342
sg_100127206_3,0.9907407536208712
sg_100127206_4,0.21391619419422356
sg_100127889_1,0.4584188167186196
sg_100127889_2,0.09108703366902283
sg_100127889_3,0.9946096150579603
sg_100127889_4,0.9987163675722279
sg_100127983_1,0.4872275619315541
sg_100127983_2,0.989902473244668
sg_100127983_3,0.2754177262235386
sg_100127983_4,0.678262829747362
sg_100128071_1,0.21775464626683938
sg_100128071_2,0.34160520221056023
sg_100128071_3,0.9829335906765587
sg_100128071_4,0.11514083222568708
sg_100128124_1,0.990487284915051
sg_100128124_2,0.02607533005139992
sg_100128124_3,0.05007892141010403
sg_100128124_4,0.04749105213023542
sg_100128327_1,0.0655254470030307
sg_100128327_2,0.4998215738074257
sg_100128327_3,0.2737099096968168
sg_100128327_4,0.950644246622879
sg_100128496_1,0.986076397199512
sg_100128496_2,0.09302036960240051
sg_100128496_3,0.5835031790539922
sg_100128496_4,0.7682246207534962
sg_100128553_1,0.985516550286798
sg_100128553_2,0.7682666922097192
sg_100128553_3,0.9888561339097477
sg_100128553_4,0.17361596985411903
sg_100128569_1,0.9920767084218749
sg_100128569_2,0.900469539213334
sg_100128569_3,0.9984175698518153
sg_100128569_4,0.28370232244813665
sg_100128731_1,0.4700852522398716
sg_100128731_2,0.999042123834297
sg_100128731_3,0.9774120436907601
sg_100128731_4,0.44450612886622926
sg_100129083_1,0.33267935293464423
sg_100129083_2,0.6410784098129418
sg_100129083_3,0.983453363895376
sg_100129083_4,0.9584143449882719
sg_100129094_1,0.68418808327716
sg_100129094_2,0.9523643532958751
sg_100129094_3,0.9854356842596881
sg_100129094_4,0.06262551893317464
sg_100129128_1,0.9996361805756206
sg_100129128_2,0.18474020133682942
sg_100129128_3,0.20054171695287507
sg_100129128_4,0.9984205922440947
sg_100129216_1,0.9844894386872913
sg_100129216_2,0.0513573811749633
sg_100129216_3,0.525276184920258
sg_100129216_4,0.9605959293918106
sg_100129239_1,0.16717811037500563
sg_100129239_2,0.9767586784927073
sg_100129239_3,0.9907006344066837
sg_100129239_4,0.5269433788053941
sg_100129271_1,0.9899961116722397
sg_100129271_2,0.9851429441115348
sg_100129271_3,0.33181309674269127
sg_100129271_4,0.9926366910420851
sg_100129361_1,0.9993029706005853
sg_100129361_2,0.2922581767342043
sg_100129361_3,0.9688222010759869
sg_100129361_4,0.9989383227320773
sg_100129385_1,0.9386232816686639
sg_100129385_2,0.9158557243300114
sg_100129385_3,0.8721498784556214
sg_100129385_4,0.9969234550543828
sg_100129480_1,0.5265081977451547
sg_100129480_2,0.7784499235820964
sg_100129480_3,0.9874659906208859
sg_100129480_4,0.7392009024878166
sg_100129520_1,0.9896127977893477
sg_100129520_2,0.9538573007830278
sg_100129520_3,0.09675023974664577
sg_100129520_4,0.767293967195671
